SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584551691s AND time <= 1584551766s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584551691000000000,0
kvmtop.hosts,1584551692000000000,0
kvmtop.hosts,1584551693000000000,0
kvmtop.hosts,1584551694000000000,0
kvmtop.hosts,1584551695000000000,0
kvmtop.hosts,1584551696000000000,2
kvmtop.hosts,1584551698000000000,2
kvmtop.hosts,1584551699000000000,2
kvmtop.hosts,1584551701000000000,2
kvmtop.hosts,1584551702000000000,2
kvmtop.hosts,1584551703000000000,2
kvmtop.hosts,1584551705000000000,2
kvmtop.hosts,1584551709000000000,2
kvmtop.hosts,1584551710000000000,2
kvmtop.hosts,1584551711000000000,2
kvmtop.hosts,1584551712000000000,2
kvmtop.hosts,1584551714000000000,2
kvmtop.hosts,1584551716000000000,3
kvmtop.hosts,1584551717000000000,3
kvmtop.hosts,1584551719000000000,3
kvmtop.hosts,1584551723000000000,3
kvmtop.hosts,1584551724000000000,3
kvmtop.hosts,1584551727000000000,3
kvmtop.hosts,1584551728000000000,3
kvmtop.hosts,1584551729000000000,3
kvmtop.hosts,1584551732000000000,3
kvmtop.hosts,1584551733000000000,2
kvmtop.hosts,1584551735000000000,3
kvmtop.hosts,1584551736000000000,3
kvmtop.hosts,1584551738000000000,3
kvmtop.hosts,1584551740000000000,3
kvmtop.hosts,1584551742000000000,3
kvmtop.hosts,1584551744000000000,3
kvmtop.hosts,1584551747000000000,3
kvmtop.hosts,1584551750000000000,3
kvmtop.hosts,1584551752000000000,3
kvmtop.hosts,1584551753000000000,3
kvmtop.hosts,1584551754000000000,3
kvmtop.hosts,1584551755000000000,3
kvmtop.hosts,1584551757000000000,3
kvmtop.hosts,1584551759000000000,3
kvmtop.hosts,1584551760000000000,2
kvmtop.hosts,1584551762000000000,0
kvmtop.hosts,1584551763000000000,0
kvmtop.hosts,1584551764000000000,0
kvmtop.hosts,1584551765000000000,0
