SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584551821s AND time <= 1584551896s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551873000000000,38
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551874000000000,28
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551875000000000,23
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551876000000000,29
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551877000000000,30
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551878000000000,16
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551879000000000,26
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551880000000000,48
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551881000000000,41
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551882000000000,35
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551883000000000,36
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551884000000000,40
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551885000000000,40
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551886000000000,42
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551887000000000,44
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551888000000000,43
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551889000000000,44
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551890000000000,35
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551891000000000,20
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584551892000000000,34
