SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584551955s AND time <= 1584552030s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551955000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551956000000000,2
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551957000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551958000000000,1
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551959000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551960000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551961000000000,20
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551962000000000,35
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551963000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551964000000000,27
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551965000000000,30
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551966000000000,33
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551967000000000,30
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551968000000000,29
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551969000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551970000000000,28
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551971000000000,30
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551972000000000,28
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551973000000000,32
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551974000000000,33
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551975000000000,33
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551976000000000,33
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551977000000000,28
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551978000000000,29
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551979000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551980000000000,25
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551981000000000,32
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551982000000000,35
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551983000000000,37
