SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584551691s AND time <= 1584551766s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551691000000000,1
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551692000000000,1
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551693000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551694000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551695000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551696000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551697000000000,32
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551698000000000,24
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551699000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551700000000000,37
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551701000000000,36
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551702000000000,35
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551703000000000,34
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551705000000000,30
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551706000000000,35
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551707000000000,36
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551708000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551709000000000,27
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551710000000000,30
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551711000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551712000000000,37
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551713000000000,31
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551714000000000,32
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551715000000000,48
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551716000000000,44
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551717000000000,41
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551718000000000,48
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551719000000000,47
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551720000000000,42
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551721000000000,48
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551722000000000,45
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551723000000000,36
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584551724000000000,32
