SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584551955s AND time <= 1584552030s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584551955000000000,0
kvmtop.hosts,1584551956000000000,0
kvmtop.hosts,1584551957000000000,0
kvmtop.hosts,1584551958000000000,0
kvmtop.hosts,1584551959000000000,0
kvmtop.hosts,1584551960000000000,2
kvmtop.hosts,1584551962000000000,3
kvmtop.hosts,1584551963000000000,2
kvmtop.hosts,1584551965000000000,3
kvmtop.hosts,1584551966000000000,3
kvmtop.hosts,1584551967000000000,3
kvmtop.hosts,1584551969000000000,3
kvmtop.hosts,1584551970000000000,3
kvmtop.hosts,1584551971000000000,2
kvmtop.hosts,1584551972000000000,3
kvmtop.hosts,1584551974000000000,3
kvmtop.hosts,1584551976000000000,3
kvmtop.hosts,1584551977000000000,3
kvmtop.hosts,1584551979000000000,2
kvmtop.hosts,1584551980000000000,3
kvmtop.hosts,1584551982000000000,2
kvmtop.hosts,1584551984000000000,2
kvmtop.hosts,1584551985000000000,2
kvmtop.hosts,1584551987000000000,3
kvmtop.hosts,1584551988000000000,3
kvmtop.hosts,1584551989000000000,3
kvmtop.hosts,1584551990000000000,3
kvmtop.hosts,1584551991000000000,3
kvmtop.hosts,1584551993000000000,3
kvmtop.hosts,1584551994000000000,3
kvmtop.hosts,1584551995000000000,3
kvmtop.hosts,1584551996000000000,3
kvmtop.hosts,1584551998000000000,3
kvmtop.hosts,1584551999000000000,4
kvmtop.hosts,1584552001000000000,3
kvmtop.hosts,1584552003000000000,4
kvmtop.hosts,1584552005000000000,4
kvmtop.hosts,1584552007000000000,4
kvmtop.hosts,1584552008000000000,4
kvmtop.hosts,1584552011000000000,4
kvmtop.hosts,1584552013000000000,4
kvmtop.hosts,1584552015000000000,4
kvmtop.hosts,1584552017000000000,4
kvmtop.hosts,1584552018000000000,3
kvmtop.hosts,1584552020000000000,4
kvmtop.hosts,1584552021000000000,3
kvmtop.hosts,1584552023000000000,4
kvmtop.hosts,1584552025000000000,4
kvmtop.hosts,1584552028000000000,4
