SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032141s AND time <= 1559032171s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032142000000000,151.00390625
diskio,host=host-192-168-5-3,1559032143000000000,150
diskio,host=host-192-168-5-3,1559032144000000000,153
diskio,host=host-192-168-5-3,1559032145000000000,150
diskio,host=host-192-168-5-3,1559032146000000000,150.08984375
diskio,host=host-192-168-5-3,1559032147000000000,151
diskio,host=host-192-168-5-3,1559032148000000000,151
diskio,host=host-192-168-5-3,1559032149000000000,151
diskio,host=host-192-168-5-3,1559032150000000000,153
diskio,host=host-192-168-5-3,1559032151000000000,151.375
diskio,host=host-192-168-5-3,1559032152000000000,153.01171875
diskio,host=host-192-168-5-3,1559032153000000000,153
diskio,host=host-192-168-5-3,1559032154000000000,153
diskio,host=host-192-168-5-3,1559032155000000000,152
diskio,host=host-192-168-5-3,1559032156000000000,152.109375
diskio,host=host-192-168-5-3,1559032157000000000,153
diskio,host=host-192-168-5-3,1559032158000000000,153
diskio,host=host-192-168-5-3,1559032159000000000,152
diskio,host=host-192-168-5-3,1559032160000000000,153
diskio,host=host-192-168-5-3,1559032161000000000,152.1640625
diskio,host=host-192-168-5-3,1559032162000000000,152
diskio,host=host-192-168-5-3,1559032163000000000,151
diskio,host=host-192-168-5-3,1559032164000000000,155
diskio,host=host-192-168-5-3,1559032165000000000,152
diskio,host=host-192-168-5-3,1559032166000000000,150.05859375
diskio,host=host-192-168-5-3,1559032167000000000,150
diskio,host=host-192-168-5-3,1559032168000000000,150
diskio,host=host-192-168-5-3,1559032169000000000,153
diskio,host=host-192-168-5-3,1559032170000000000,150
diskio,host=host-192-168-5-3,1559032171000000000,151.0546875
