SELECT mean("io_write_bytes")/1024/1024 AS "mean_io_write_bytes" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1559031826s AND time <= 1559031856s GROUP BY time(1s), "UUID" FILL(null)
name,tags,time,mean_io_write_bytes
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031826000000000,114.64465808868408
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031827000000000,150.93618297576904
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031828000000000,151.90536403656006
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031829000000000,152.04367351531982
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031830000000000,150.44424057006836
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031831000000000,151.8848466873169
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031832000000000,150.7712631225586
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031833000000000,150.8407163619995
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031834000000000,148.90829277038574
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031835000000000,150.56156826019287
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031836000000000,153.8530511856079
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031837000000000,152.06075477600098
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031838000000000,152.98347568511963
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031839000000000,151.89377117156982
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031840000000000,151.2107458114624
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031841000000000,151.69558334350586
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031842000000000,152.21063995361328
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031843000000000,151.7922239303589
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031844000000000,150.0266456604004
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031845000000000,149.5640993118286
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031846000000000,151.53682708740234
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031847000000000,149.49509048461914
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031848000000000,150.45557498931885
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031849000000000,150.87082958221436
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031850000000000,151.32320594787598
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031851000000000,150.7299404144287
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031852000000000,150.09376335144043
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031853000000000,151.0572633743286
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031854000000000,149.9465970993042
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031855000000000,150.11669445037842
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031856000000000,
