SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031826s AND time <= 1559031856s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559031827000000000,151.00390625
diskio,host=host-192-168-5-3,1559031828000000000,151
diskio,host=host-192-168-5-3,1559031829000000000,152
diskio,host=host-192-168-5-3,1559031830000000000,150
diskio,host=host-192-168-5-3,1559031831000000000,152.94482421875
diskio,host=host-192-168-5-3,1559031832000000000,151.27001953125
diskio,host=host-192-168-5-3,1559031833000000000,151
diskio,host=host-192-168-5-3,1559031834000000000,149
diskio,host=host-192-168-5-3,1559031835000000000,150
diskio,host=host-192-168-5-3,1559031836000000000,153.05078125
diskio,host=host-192-168-5-3,1559031837000000000,153
diskio,host=host-192-168-5-3,1559031838000000000,152
diskio,host=host-192-168-5-3,1559031839000000000,153
diskio,host=host-192-168-5-3,1559031840000000000,150
diskio,host=host-192-168-5-3,1559031841000000000,153.05078125
diskio,host=host-192-168-5-3,1559031842000000000,152
diskio,host=host-192-168-5-3,1559031843000000000,152
diskio,host=host-192-168-5-3,1559031844000000000,150
diskio,host=host-192-168-5-3,1559031845000000000,150
diskio,host=host-192-168-5-3,1559031846000000000,150.05078125
diskio,host=host-192-168-5-3,1559031847000000000,150
diskio,host=host-192-168-5-3,1559031848000000000,151
diskio,host=host-192-168-5-3,1559031849000000000,150
diskio,host=host-192-168-5-3,1559031850000000000,152
diskio,host=host-192-168-5-3,1559031851000000000,150.0546875
diskio,host=host-192-168-5-3,1559031852000000000,150.01171875
diskio,host=host-192-168-5-3,1559031853000000000,151
diskio,host=host-192-168-5-3,1559031854000000000,150
diskio,host=host-192-168-5-3,1559031855000000000,151
diskio,host=host-192-168-5-3,1559031856000000000,149.265625
