SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032519s AND time <= 1559032549s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032520000000000,151.00390625
diskio,host=host-192-168-5-3,1559032521000000000,152
diskio,host=host-192-168-5-3,1559032522000000000,156
diskio,host=host-192-168-5-3,1559032523000000000,152
diskio,host=host-192-168-5-3,1559032524000000000,152.08984375
diskio,host=host-192-168-5-3,1559032525000000000,152
diskio,host=host-192-168-5-3,1559032526000000000,152
diskio,host=host-192-168-5-3,1559032527000000000,153
diskio,host=host-192-168-5-3,1559032528000000000,153
diskio,host=host-192-168-5-3,1559032529000000000,153.05078125
diskio,host=host-192-168-5-3,1559032530000000000,150
diskio,host=host-192-168-5-3,1559032531000000000,153
diskio,host=host-192-168-5-3,1559032532000000000,152
diskio,host=host-192-168-5-3,1559032533000000000,152
diskio,host=host-192-168-5-3,1559032534000000000,153.05078125
diskio,host=host-192-168-5-3,1559032535000000000,152.3515625
diskio,host=host-192-168-5-3,1559032536000000000,152
diskio,host=host-192-168-5-3,1559032537000000000,152
diskio,host=host-192-168-5-3,1559032538000000000,154
diskio,host=host-192-168-5-3,1559032539000000000,155.078125
diskio,host=host-192-168-5-3,1559032540000000000,152
diskio,host=host-192-168-5-3,1559032541000000000,153
diskio,host=host-192-168-5-3,1559032542000000000,152.01171875
diskio,host=host-192-168-5-3,1559032543000000000,153
diskio,host=host-192-168-5-3,1559032544000000000,153.08984375
diskio,host=host-192-168-5-3,1559032545000000000,153
diskio,host=host-192-168-5-3,1559032546000000000,152
diskio,host=host-192-168-5-3,1559032547000000000,153
diskio,host=host-192-168-5-3,1559032548000000000,152
diskio,host=host-192-168-5-3,1559032549000000000,153.05078125
