SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032456s AND time <= 1559032486s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032457000000000,154.00390625
diskio,host=host-192-168-5-3,1559032458000000000,156
diskio,host=host-192-168-5-3,1559032459000000000,155
diskio,host=host-192-168-5-3,1559032460000000000,154
diskio,host=host-192-168-5-3,1559032461000000000,152.1015625
diskio,host=host-192-168-5-3,1559032462000000000,154
diskio,host=host-192-168-5-3,1559032463000000000,154
diskio,host=host-192-168-5-3,1559032464000000000,152
diskio,host=host-192-168-5-3,1559032465000000000,152
diskio,host=host-192-168-5-3,1559032466000000000,153.390625
diskio,host=host-192-168-5-3,1559032467000000000,154
diskio,host=host-192-168-5-3,1559032468000000000,155
diskio,host=host-192-168-5-3,1559032469000000000,152
diskio,host=host-192-168-5-3,1559032470000000000,150
diskio,host=host-192-168-5-3,1559032471000000000,149.0703125
diskio,host=host-192-168-5-3,1559032472000000000,153
diskio,host=host-192-168-5-3,1559032473000000000,153
diskio,host=host-192-168-5-3,1559032474000000000,154
diskio,host=host-192-168-5-3,1559032475000000000,152
diskio,host=host-192-168-5-3,1559032476000000000,152.05078125
diskio,host=host-192-168-5-3,1559032477000000000,152
diskio,host=host-192-168-5-3,1559032478000000000,154
diskio,host=host-192-168-5-3,1559032479000000000,152
diskio,host=host-192-168-5-3,1559032480000000000,152
diskio,host=host-192-168-5-3,1559032481000000000,150.05078125
diskio,host=host-192-168-5-3,1559032482000000000,153.01171875
diskio,host=host-192-168-5-3,1559032483000000000,152
diskio,host=host-192-168-5-3,1559032484000000000,153
diskio,host=host-192-168-5-3,1559032485000000000,153
diskio,host=host-192-168-5-3,1559032486000000000,152.078125
