SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032330s AND time <= 1559032360s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032331000000000,153.00390625
diskio,host=host-192-168-5-3,1559032332000000000,154.01171875
diskio,host=host-192-168-5-3,1559032333000000000,153
diskio,host=host-192-168-5-3,1559032334000000000,154
diskio,host=host-192-168-5-3,1559032335000000000,151.12109375
diskio,host=host-192-168-5-3,1559032336000000000,153
diskio,host=host-192-168-5-3,1559032337000000000,151.72998046875
diskio,host=host-192-168-5-3,1559032338000000000,156.27001953125
diskio,host=host-192-168-5-3,1559032339000000000,156
diskio,host=host-192-168-5-3,1559032340000000000,155.05078125
diskio,host=host-192-168-5-3,1559032341000000000,155
diskio,host=host-192-168-5-3,1559032342000000000,155
diskio,host=host-192-168-5-3,1559032343000000000,156
diskio,host=host-192-168-5-3,1559032344000000000,152
diskio,host=host-192-168-5-3,1559032345000000000,153.05078125
diskio,host=host-192-168-5-3,1559032346000000000,155
diskio,host=host-192-168-5-3,1559032347000000000,154
diskio,host=host-192-168-5-3,1559032348000000000,155
diskio,host=host-192-168-5-3,1559032349000000000,152
diskio,host=host-192-168-5-3,1559032350000000000,154.05078125
diskio,host=host-192-168-5-3,1559032351000000000,154
diskio,host=host-192-168-5-3,1559032352000000000,154
diskio,host=host-192-168-5-3,1559032353000000000,153.72998046875
diskio,host=host-192-168-5-3,1559032354000000000,154.27001953125
diskio,host=host-192-168-5-3,1559032355000000000,152.05078125
diskio,host=host-192-168-5-3,1559032356000000000,153
diskio,host=host-192-168-5-3,1559032357000000000,154
diskio,host=host-192-168-5-3,1559032358000000000,151
diskio,host=host-192-168-5-3,1559032359000000000,151
diskio,host=host-192-168-5-3,1559032360000000000,155.05078125
