SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031952s AND time <= 1559031982s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559031953000000000,152.00390625
diskio,host=host-192-168-5-3,1559031954000000000,153
diskio,host=host-192-168-5-3,1559031955000000000,152
diskio,host=host-192-168-5-3,1559031956000000000,152
diskio,host=host-192-168-5-3,1559031957000000000,153.09375
diskio,host=host-192-168-5-3,1559031958000000000,155
diskio,host=host-192-168-5-3,1559031959000000000,155
diskio,host=host-192-168-5-3,1559031960000000000,153
diskio,host=host-192-168-5-3,1559031961000000000,152
diskio,host=host-192-168-5-3,1559031962000000000,151.05078125
diskio,host=host-192-168-5-3,1559031963000000000,152
diskio,host=host-192-168-5-3,1559031964000000000,153
diskio,host=host-192-168-5-3,1559031965000000000,151
diskio,host=host-192-168-5-3,1559031966000000000,153
diskio,host=host-192-168-5-3,1559031967000000000,152.6640625
diskio,host=host-192-168-5-3,1559031968000000000,153
diskio,host=host-192-168-5-3,1559031969000000000,153
diskio,host=host-192-168-5-3,1559031970000000000,154
diskio,host=host-192-168-5-3,1559031971000000000,156
diskio,host=host-192-168-5-3,1559031972000000000,153.09765625
diskio,host=host-192-168-5-3,1559031973000000000,155
diskio,host=host-192-168-5-3,1559031974000000000,151
diskio,host=host-192-168-5-3,1559031975000000000,153
diskio,host=host-192-168-5-3,1559031976000000000,151
diskio,host=host-192-168-5-3,1559031977000000000,154.20703125
diskio,host=host-192-168-5-3,1559031978000000000,150
diskio,host=host-192-168-5-3,1559031979000000000,154
diskio,host=host-192-168-5-3,1559031980000000000,153
diskio,host=host-192-168-5-3,1559031981000000000,154
diskio,host=host-192-168-5-3,1559031982000000000,153.05078125
