SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032204s AND time <= 1559032234s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032205000000000,150.00390625
diskio,host=host-192-168-5-3,1559032206000000000,151
diskio,host=host-192-168-5-3,1559032207000000000,153
diskio,host=host-192-168-5-3,1559032208000000000,154
diskio,host=host-192-168-5-3,1559032209000000000,152.08984375
diskio,host=host-192-168-5-3,1559032210000000000,153
diskio,host=host-192-168-5-3,1559032211000000000,153
diskio,host=host-192-168-5-3,1559032212000000000,153.01171875
diskio,host=host-192-168-5-3,1559032213000000000,154
diskio,host=host-192-168-5-3,1559032214000000000,154.078125
diskio,host=host-192-168-5-3,1559032215000000000,153
diskio,host=host-192-168-5-3,1559032216000000000,154
diskio,host=host-192-168-5-3,1559032217000000000,153
diskio,host=host-192-168-5-3,1559032218000000000,157
diskio,host=host-192-168-5-3,1559032219000000000,153.421875
diskio,host=host-192-168-5-3,1559032220000000000,155
diskio,host=host-192-168-5-3,1559032221000000000,153
diskio,host=host-192-168-5-3,1559032222000000000,154
diskio,host=host-192-168-5-3,1559032223000000000,154
diskio,host=host-192-168-5-3,1559032224000000000,154.0625
diskio,host=host-192-168-5-3,1559032225000000000,154
diskio,host=host-192-168-5-3,1559032226000000000,152
diskio,host=host-192-168-5-3,1559032227000000000,154
diskio,host=host-192-168-5-3,1559032228000000000,154
diskio,host=host-192-168-5-3,1559032229000000000,154.0625
diskio,host=host-192-168-5-3,1559032230000000000,153
diskio,host=host-192-168-5-3,1559032231000000000,152
diskio,host=host-192-168-5-3,1559032232000000000,155
diskio,host=host-192-168-5-3,1559032233000000000,154
diskio,host=host-192-168-5-3,1559032234000000000,154.0546875
