SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032015s AND time <= 1559032045s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032016000000000,151.00390625
diskio,host=host-192-168-5-3,1559032017000000000,152
diskio,host=host-192-168-5-3,1559032018000000000,153
diskio,host=host-192-168-5-3,1559032019000000000,153
diskio,host=host-192-168-5-3,1559032020000000000,153.21484375
diskio,host=host-192-168-5-3,1559032021000000000,152
diskio,host=host-192-168-5-3,1559032022000000000,152
diskio,host=host-192-168-5-3,1559032023000000000,152
diskio,host=host-192-168-5-3,1559032024000000000,152
diskio,host=host-192-168-5-3,1559032025000000000,155.0546875
diskio,host=host-192-168-5-3,1559032026000000000,151
diskio,host=host-192-168-5-3,1559032027000000000,154
diskio,host=host-192-168-5-3,1559032028000000000,152
diskio,host=host-192-168-5-3,1559032029000000000,151
diskio,host=host-192-168-5-3,1559032030000000000,152.05078125
diskio,host=host-192-168-5-3,1559032031000000000,151
diskio,host=host-192-168-5-3,1559032032000000000,151.01171875
diskio,host=host-192-168-5-3,1559032033000000000,153
diskio,host=host-192-168-5-3,1559032034000000000,150
diskio,host=host-192-168-5-3,1559032035000000000,150.07421875
diskio,host=host-192-168-5-3,1559032036000000000,151
diskio,host=host-192-168-5-3,1559032037000000000,153
diskio,host=host-192-168-5-3,1559032038000000000,151
diskio,host=host-192-168-5-3,1559032039000000000,154
diskio,host=host-192-168-5-3,1559032040000000000,150.0546875
diskio,host=host-192-168-5-3,1559032041000000000,152
diskio,host=host-192-168-5-3,1559032042000000000,152
diskio,host=host-192-168-5-3,1559032043000000000,152
diskio,host=host-192-168-5-3,1559032044000000000,153
diskio,host=host-192-168-5-3,1559032045000000000,151.23046875
