SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032078s AND time <= 1559032108s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032079000000000,152.00390625
diskio,host=host-192-168-5-3,1559032080000000000,151
diskio,host=host-192-168-5-3,1559032081000000000,152
diskio,host=host-192-168-5-3,1559032082000000000,151
diskio,host=host-192-168-5-3,1559032083000000000,153.09765625
diskio,host=host-192-168-5-3,1559032084000000000,153
diskio,host=host-192-168-5-3,1559032085000000000,152
diskio,host=host-192-168-5-3,1559032086000000000,152
diskio,host=host-192-168-5-3,1559032087000000000,154
diskio,host=host-192-168-5-3,1559032088000000000,151.37890625
diskio,host=host-192-168-5-3,1559032089000000000,153
diskio,host=host-192-168-5-3,1559032090000000000,153
diskio,host=host-192-168-5-3,1559032091000000000,152
diskio,host=host-192-168-5-3,1559032092000000000,152.01171875
diskio,host=host-192-168-5-3,1559032093000000000,152.09375
diskio,host=host-192-168-5-3,1559032094000000000,152
diskio,host=host-192-168-5-3,1559032095000000000,152
diskio,host=host-192-168-5-3,1559032096000000000,153
diskio,host=host-192-168-5-3,1559032097000000000,152
diskio,host=host-192-168-5-3,1559032098000000000,153.0546875
diskio,host=host-192-168-5-3,1559032099000000000,153
diskio,host=host-192-168-5-3,1559032100000000000,152
diskio,host=host-192-168-5-3,1559032101000000000,154
diskio,host=host-192-168-5-3,1559032102000000000,152
diskio,host=host-192-168-5-3,1559032103000000000,152.05859375
diskio,host=host-192-168-5-3,1559032104000000000,151
diskio,host=host-192-168-5-3,1559032105000000000,151
diskio,host=host-192-168-5-3,1559032106000000000,152
diskio,host=host-192-168-5-3,1559032107000000000,152
diskio,host=host-192-168-5-3,1559032108000000000,153.203125
