SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031762s AND time <= 1559031792s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559031763000000000,130.9375
diskio,host=host-192-168-5-3,1559031764000000000,149.00390625
diskio,host=host-192-168-5-3,1559031765000000000,152
diskio,host=host-192-168-5-3,1559031766000000000,151
diskio,host=host-192-168-5-3,1559031767000000000,152
diskio,host=host-192-168-5-3,1559031768000000000,155.09375
diskio,host=host-192-168-5-3,1559031769000000000,151
diskio,host=host-192-168-5-3,1559031770000000000,154
diskio,host=host-192-168-5-3,1559031771000000000,151
diskio,host=host-192-168-5-3,1559031772000000000,148.15625
diskio,host=host-192-168-5-3,1559031773000000000,153
diskio,host=host-192-168-5-3,1559031774000000000,152
diskio,host=host-192-168-5-3,1559031775000000000,151
diskio,host=host-192-168-5-3,1559031776000000000,150
diskio,host=host-192-168-5-3,1559031777000000000,151.16796875
diskio,host=host-192-168-5-3,1559031778000000000,153
diskio,host=host-192-168-5-3,1559031779000000000,152
diskio,host=host-192-168-5-3,1559031780000000000,148.16015625
diskio,host=host-192-168-5-3,1559031781000000000,154
diskio,host=host-192-168-5-3,1559031782000000000,155
diskio,host=host-192-168-5-3,1559031783000000000,153
diskio,host=host-192-168-5-3,1559031784000000000,153
diskio,host=host-192-168-5-3,1559031785000000000,153.171875
diskio,host=host-192-168-5-3,1559031786000000000,153
diskio,host=host-192-168-5-3,1559031787000000000,156
diskio,host=host-192-168-5-3,1559031788000000000,151
diskio,host=host-192-168-5-3,1559031789000000000,150
diskio,host=host-192-168-5-3,1559031790000000000,150.05078125
diskio,host=host-192-168-5-3,1559031791000000000,151
diskio,host=host-192-168-5-3,1559031792000000000,150.01171875
