SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032393s AND time <= 1559032423s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032394000000000,150.00390625
diskio,host=host-192-168-5-3,1559032395000000000,152
diskio,host=host-192-168-5-3,1559032396000000000,151
diskio,host=host-192-168-5-3,1559032397000000000,152
diskio,host=host-192-168-5-3,1559032398000000000,151.08984375
diskio,host=host-192-168-5-3,1559032399000000000,152
diskio,host=host-192-168-5-3,1559032400000000000,151
diskio,host=host-192-168-5-3,1559032401000000000,151
diskio,host=host-192-168-5-3,1559032402000000000,152
diskio,host=host-192-168-5-3,1559032403000000000,152.37109375
diskio,host=host-192-168-5-3,1559032404000000000,153
diskio,host=host-192-168-5-3,1559032405000000000,150
diskio,host=host-192-168-5-3,1559032406000000000,152
diskio,host=host-192-168-5-3,1559032407000000000,153
diskio,host=host-192-168-5-3,1559032408000000000,152.0546875
diskio,host=host-192-168-5-3,1559032409000000000,153
diskio,host=host-192-168-5-3,1559032410000000000,151
diskio,host=host-192-168-5-3,1559032411000000000,152
diskio,host=host-192-168-5-3,1559032412000000000,152
diskio,host=host-192-168-5-3,1559032413000000000,153.0546875
diskio,host=host-192-168-5-3,1559032414000000000,152.0546875
diskio,host=host-192-168-5-3,1559032415000000000,152
diskio,host=host-192-168-5-3,1559032416000000000,152
diskio,host=host-192-168-5-3,1559032417000000000,152
diskio,host=host-192-168-5-3,1559032418000000000,151.05859375
diskio,host=host-192-168-5-3,1559032419000000000,152.03125
diskio,host=host-192-168-5-3,1559032420000000000,151
diskio,host=host-192-168-5-3,1559032421000000000,153
diskio,host=host-192-168-5-3,1559032422000000000,152.01171875
diskio,host=host-192-168-5-3,1559032423000000000,153.08203125
