SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559032267s AND time <= 1559032297s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559032268000000000,150.00390625
diskio,host=host-192-168-5-3,1559032269000000000,152
diskio,host=host-192-168-5-3,1559032270000000000,149
diskio,host=host-192-168-5-3,1559032271000000000,153
diskio,host=host-192-168-5-3,1559032272000000000,151.1015625
diskio,host=host-192-168-5-3,1559032273000000000,150
diskio,host=host-192-168-5-3,1559032274000000000,152
diskio,host=host-192-168-5-3,1559032275000000000,151
diskio,host=host-192-168-5-3,1559032276000000000,152
diskio,host=host-192-168-5-3,1559032277000000000,153.07421875
diskio,host=host-192-168-5-3,1559032278000000000,152
diskio,host=host-192-168-5-3,1559032279000000000,153
diskio,host=host-192-168-5-3,1559032280000000000,151
diskio,host=host-192-168-5-3,1559032281000000000,151
diskio,host=host-192-168-5-3,1559032282000000000,151.4140625
diskio,host=host-192-168-5-3,1559032283000000000,151
diskio,host=host-192-168-5-3,1559032284000000000,151
diskio,host=host-192-168-5-3,1559032285000000000,153
diskio,host=host-192-168-5-3,1559032286000000000,152
diskio,host=host-192-168-5-3,1559032287000000000,152.06640625
diskio,host=host-192-168-5-3,1559032288000000000,152
diskio,host=host-192-168-5-3,1559032289000000000,151
diskio,host=host-192-168-5-3,1559032290000000000,151
diskio,host=host-192-168-5-3,1559032291000000000,153
diskio,host=host-192-168-5-3,1559032292000000000,151.0546875
diskio,host=host-192-168-5-3,1559032293000000000,152
diskio,host=host-192-168-5-3,1559032294000000000,154
diskio,host=host-192-168-5-3,1559032295000000000,151
diskio,host=host-192-168-5-3,1559032296000000000,151
diskio,host=host-192-168-5-3,1559032297000000000,151.05078125
