SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584539742s AND time <= 1584539812s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584539742000000000,0
kvmtop.hosts,1584539743000000000,0
kvmtop.hosts,1584539744000000000,0
kvmtop.hosts,1584539745000000000,0
kvmtop.hosts,1584539746000000000,2
kvmtop.hosts,1584539747000000000,3
kvmtop.hosts,1584539749000000000,3
kvmtop.hosts,1584539751000000000,3
kvmtop.hosts,1584539752000000000,3
kvmtop.hosts,1584539755000000000,3
kvmtop.hosts,1584539757000000000,3
kvmtop.hosts,1584539758000000000,3
kvmtop.hosts,1584539759000000000,3
kvmtop.hosts,1584539761000000000,3
kvmtop.hosts,1584539763000000000,3
kvmtop.hosts,1584539764000000000,3
kvmtop.hosts,1584539767000000000,3
kvmtop.hosts,1584539768000000000,3
kvmtop.hosts,1584539769000000000,3
kvmtop.hosts,1584539770000000000,3
kvmtop.hosts,1584539771000000000,3
kvmtop.hosts,1584539773000000000,3
kvmtop.hosts,1584539775000000000,3
kvmtop.hosts,1584539777000000000,3
kvmtop.hosts,1584539779000000000,3
kvmtop.hosts,1584539781000000000,3
kvmtop.hosts,1584539783000000000,3
kvmtop.hosts,1584539784000000000,3
kvmtop.hosts,1584539785000000000,3
kvmtop.hosts,1584539786000000000,3
kvmtop.hosts,1584539788000000000,2
kvmtop.hosts,1584539789000000000,3
kvmtop.hosts,1584539790000000000,3
kvmtop.hosts,1584539792000000000,3
kvmtop.hosts,1584539793000000000,3
kvmtop.hosts,1584539795000000000,3
kvmtop.hosts,1584539796000000000,3
kvmtop.hosts,1584539799000000000,3
kvmtop.hosts,1584539800000000000,3
kvmtop.hosts,1584539803000000000,0
kvmtop.hosts,1584539804000000000,0
kvmtop.hosts,1584539805000000000,0
kvmtop.hosts,1584539806000000000,0
kvmtop.hosts,1584539807000000000,0
kvmtop.hosts,1584539808000000000,0
kvmtop.hosts,1584539809000000000,0
kvmtop.hosts,1584539810000000000,0
kvmtop.hosts,1584539811000000000,0
