SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584540200s AND time <= 1584540270s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584540200000000000,0
kvmtop.hosts,1584540201000000000,0
kvmtop.hosts,1584540202000000000,0
kvmtop.hosts,1584540203000000000,2
kvmtop.hosts,1584540206000000000,4
kvmtop.hosts,1584540207000000000,5
kvmtop.hosts,1584540208000000000,4
kvmtop.hosts,1584540209000000000,4
kvmtop.hosts,1584540211000000000,4
kvmtop.hosts,1584540212000000000,4
kvmtop.hosts,1584540213000000000,4
kvmtop.hosts,1584540214000000000,4
kvmtop.hosts,1584540217000000000,4
kvmtop.hosts,1584540219000000000,5
kvmtop.hosts,1584540220000000000,4
kvmtop.hosts,1584540222000000000,4
kvmtop.hosts,1584540224000000000,4
kvmtop.hosts,1584540225000000000,5
kvmtop.hosts,1584540228000000000,4
kvmtop.hosts,1584540231000000000,4
kvmtop.hosts,1584540232000000000,4
kvmtop.hosts,1584540235000000000,4
kvmtop.hosts,1584540236000000000,5
kvmtop.hosts,1584540239000000000,5
kvmtop.hosts,1584540241000000000,5
kvmtop.hosts,1584540244000000000,4
kvmtop.hosts,1584540245000000000,5
kvmtop.hosts,1584540247000000000,4
kvmtop.hosts,1584540248000000000,5
kvmtop.hosts,1584540250000000000,4
kvmtop.hosts,1584540251000000000,4
kvmtop.hosts,1584540252000000000,4
kvmtop.hosts,1584540254000000000,4
kvmtop.hosts,1584540256000000000,4
kvmtop.hosts,1584540258000000000,4
kvmtop.hosts,1584540261000000000,4
kvmtop.hosts,1584540262000000000,4
kvmtop.hosts,1584540263000000000,4
kvmtop.hosts,1584540266000000000,2
kvmtop.hosts,1584540267000000000,2
kvmtop.hosts,1584540268000000000,2
