SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584539742s AND time <= 1584539812s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539742000000000,1
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539743000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539744000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539745000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539746000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539747000000000,32
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539748000000000,39
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539749000000000,36
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539750000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539751000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539752000000000,37
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539753000000000,39
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539754000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539755000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539756000000000,39
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539757000000000,37
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539758000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539759000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539760000000000,39
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539761000000000,40
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539762000000000,37
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539763000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539764000000000,38
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584539765000000000,39
