SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584540315s AND time <= 1584540385s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584540315000000000,0
kvmtop.hosts,1584540316000000000,0
kvmtop.hosts,1584540317000000000,0
kvmtop.hosts,1584540318000000000,0
kvmtop.hosts,1584540319000000000,0
kvmtop.hosts,1584540320000000000,3
kvmtop.hosts,1584540322000000000,4
kvmtop.hosts,1584540323000000000,4
kvmtop.hosts,1584540326000000000,4
kvmtop.hosts,1584540328000000000,4
kvmtop.hosts,1584540330000000000,4
kvmtop.hosts,1584540332000000000,5
kvmtop.hosts,1584540333000000000,5
kvmtop.hosts,1584540334000000000,5
kvmtop.hosts,1584540335000000000,5
kvmtop.hosts,1584540337000000000,5
kvmtop.hosts,1584540338000000000,4
kvmtop.hosts,1584540341000000000,4
kvmtop.hosts,1584540342000000000,4
kvmtop.hosts,1584540343000000000,5
kvmtop.hosts,1584540345000000000,4
kvmtop.hosts,1584540347000000000,5
kvmtop.hosts,1584540349000000000,4
kvmtop.hosts,1584540351000000000,4
kvmtop.hosts,1584540354000000000,5
kvmtop.hosts,1584540355000000000,4
kvmtop.hosts,1584540358000000000,5
kvmtop.hosts,1584540361000000000,4
kvmtop.hosts,1584540363000000000,4
kvmtop.hosts,1584540366000000000,4
kvmtop.hosts,1584540367000000000,4
kvmtop.hosts,1584540369000000000,5
kvmtop.hosts,1584540371000000000,4
kvmtop.hosts,1584540373000000000,4
kvmtop.hosts,1584540377000000000,4
kvmtop.hosts,1584540378000000000,4
kvmtop.hosts,1584540380000000000,4
kvmtop.hosts,1584540381000000000,4
kvmtop.hosts,1584540383000000000,3
kvmtop.hosts,1584540384000000000,1
