SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030909s AND time <= 1559030939s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030910000000000,441
diskio,host=host-192-168-5-3,1559030911000000000,457
diskio,host=host-192-168-5-3,1559030912000000000,437
diskio,host=host-192-168-5-3,1559030913000000000,449
diskio,host=host-192-168-5-3,1559030914000000000,436
diskio,host=host-192-168-5-3,1559030915000000000,349
diskio,host=host-192-168-5-3,1559030916000000000,379
diskio,host=host-192-168-5-3,1559030917000000000,393
diskio,host=host-192-168-5-3,1559030918000000000,409
diskio,host=host-192-168-5-3,1559030919000000000,438
diskio,host=host-192-168-5-3,1559030920000000000,394
diskio,host=host-192-168-5-3,1559030921000000000,349
diskio,host=host-192-168-5-3,1559030922000000000,417
diskio,host=host-192-168-5-3,1559030923000000000,443
diskio,host=host-192-168-5-3,1559030924000000000,446
diskio,host=host-192-168-5-3,1559030925000000000,430
diskio,host=host-192-168-5-3,1559030926000000000,414
diskio,host=host-192-168-5-3,1559030927000000000,442
diskio,host=host-192-168-5-3,1559030928000000000,429
diskio,host=host-192-168-5-3,1559030929000000000,432
diskio,host=host-192-168-5-3,1559030930000000000,443
diskio,host=host-192-168-5-3,1559030931000000000,431
diskio,host=host-192-168-5-3,1559030932000000000,435
diskio,host=host-192-168-5-3,1559030933000000000,448
diskio,host=host-192-168-5-3,1559030934000000000,12
diskio,host=host-192-168-5-3,1559030935000000000,0
diskio,host=host-192-168-5-3,1559030936000000000,0
diskio,host=host-192-168-5-3,1559030937000000000,0
diskio,host=host-192-168-5-3,1559030938000000000,0
diskio,host=host-192-168-5-3,1559030939000000000,0
