SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030405s AND time <= 1559030435s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030406000000000,342
diskio,host=host-192-168-5-3,1559030407000000000,432
diskio,host=host-192-168-5-3,1559030408000000000,425
diskio,host=host-192-168-5-3,1559030409000000000,424
diskio,host=host-192-168-5-3,1559030410000000000,424
diskio,host=host-192-168-5-3,1559030411000000000,394
diskio,host=host-192-168-5-3,1559030412000000000,333
diskio,host=host-192-168-5-3,1559030413000000000,381
diskio,host=host-192-168-5-3,1559030414000000000,376
diskio,host=host-192-168-5-3,1559030415000000000,404
diskio,host=host-192-168-5-3,1559030416000000000,408
diskio,host=host-192-168-5-3,1559030417000000000,366
diskio,host=host-192-168-5-3,1559030418000000000,335
diskio,host=host-192-168-5-3,1559030419000000000,423
diskio,host=host-192-168-5-3,1559030420000000000,420
diskio,host=host-192-168-5-3,1559030421000000000,400
diskio,host=host-192-168-5-3,1559030422000000000,407
diskio,host=host-192-168-5-3,1559030423000000000,425
diskio,host=host-192-168-5-3,1559030424000000000,427
diskio,host=host-192-168-5-3,1559030425000000000,440
diskio,host=host-192-168-5-3,1559030426000000000,425
diskio,host=host-192-168-5-3,1559030427000000000,423
diskio,host=host-192-168-5-3,1559030428000000000,416
diskio,host=host-192-168-5-3,1559030429000000000,419
diskio,host=host-192-168-5-3,1559030430000000000,424
diskio,host=host-192-168-5-3,1559030431000000000,147
diskio,host=host-192-168-5-3,1559030432000000000,0
diskio,host=host-192-168-5-3,1559030433000000000,0
diskio,host=host-192-168-5-3,1559030434000000000,0
diskio,host=host-192-168-5-3,1559030435000000000,0
