SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030029s AND time <= 1559030059s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030030000000000,416
diskio,host=host-192-168-5-3,1559030031000000000,420
diskio,host=host-192-168-5-3,1559030032000000000,419
diskio,host=host-192-168-5-3,1559030033000000000,431
diskio,host=host-192-168-5-3,1559030034000000000,425
diskio,host=host-192-168-5-3,1559030035000000000,376
diskio,host=host-192-168-5-3,1559030036000000000,337
diskio,host=host-192-168-5-3,1559030037000000000,393
diskio,host=host-192-168-5-3,1559030038000000000,386
diskio,host=host-192-168-5-3,1559030039000000000,424
diskio,host=host-192-168-5-3,1559030040000000000,415
diskio,host=host-192-168-5-3,1559030041000000000,345
diskio,host=host-192-168-5-3,1559030042000000000,385
diskio,host=host-192-168-5-3,1559030043000000000,417
diskio,host=host-192-168-5-3,1559030044000000000,423
diskio,host=host-192-168-5-3,1559030045000000000,421
diskio,host=host-192-168-5-3,1559030046000000000,383
diskio,host=host-192-168-5-3,1559030047000000000,430
diskio,host=host-192-168-5-3,1559030048000000000,415
diskio,host=host-192-168-5-3,1559030049000000000,419
diskio,host=host-192-168-5-3,1559030050000000000,413
diskio,host=host-192-168-5-3,1559030051000000000,409
diskio,host=host-192-168-5-3,1559030052000000000,423
diskio,host=host-192-168-5-3,1559030053000000000,424
diskio,host=host-192-168-5-3,1559030054000000000,406
diskio,host=host-192-168-5-3,1559030055000000000,0
diskio,host=host-192-168-5-3,1559030056000000000,0
diskio,host=host-192-168-5-3,1559030057000000000,0
diskio,host=host-192-168-5-3,1559030058000000000,0
diskio,host=host-192-168-5-3,1559030059000000000,0
