SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031224s AND time <= 1559031254s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031225000000000,406
diskio,host=host-192-168-5-3,1559031226000000000,411
diskio,host=host-192-168-5-3,1559031227000000000,429
diskio,host=host-192-168-5-3,1559031228000000000,418
diskio,host=host-192-168-5-3,1559031229000000000,416
diskio,host=host-192-168-5-3,1559031230000000000,408
diskio,host=host-192-168-5-3,1559031231000000000,326
diskio,host=host-192-168-5-3,1559031232000000000,378
diskio,host=host-192-168-5-3,1559031233000000000,387
diskio,host=host-192-168-5-3,1559031234000000000,404
diskio,host=host-192-168-5-3,1559031235000000000,427
diskio,host=host-192-168-5-3,1559031236000000000,367
diskio,host=host-192-168-5-3,1559031237000000000,354
diskio,host=host-192-168-5-3,1559031238000000000,418
diskio,host=host-192-168-5-3,1559031239000000000,426
diskio,host=host-192-168-5-3,1559031240000000000,426
diskio,host=host-192-168-5-3,1559031241000000000,400
diskio,host=host-192-168-5-3,1559031242000000000,415
diskio,host=host-192-168-5-3,1559031243000000000,424
diskio,host=host-192-168-5-3,1559031244000000000,413
diskio,host=host-192-168-5-3,1559031245000000000,418
diskio,host=host-192-168-5-3,1559031246000000000,417
diskio,host=host-192-168-5-3,1559031247000000000,421
diskio,host=host-192-168-5-3,1559031248000000000,412
diskio,host=host-192-168-5-3,1559031249000000000,423
diskio,host=host-192-168-5-3,1559031250000000000,96
diskio,host=host-192-168-5-3,1559031251000000000,0
diskio,host=host-192-168-5-3,1559031252000000000,0
diskio,host=host-192-168-5-3,1559031253000000000,0
diskio,host=host-192-168-5-3,1559031254000000000,0
