SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031350s AND time <= 1559031380s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031351000000000,415
diskio,host=host-192-168-5-3,1559031352000000000,421
diskio,host=host-192-168-5-3,1559031353000000000,423
diskio,host=host-192-168-5-3,1559031354000000000,418
diskio,host=host-192-168-5-3,1559031355000000000,412
diskio,host=host-192-168-5-3,1559031356000000000,398
diskio,host=host-192-168-5-3,1559031357000000000,328
diskio,host=host-192-168-5-3,1559031358000000000,370
diskio,host=host-192-168-5-3,1559031359000000000,368
diskio,host=host-192-168-5-3,1559031360000000000,398
diskio,host=host-192-168-5-3,1559031361000000000,416
diskio,host=host-192-168-5-3,1559031362000000000,356
diskio,host=host-192-168-5-3,1559031363000000000,345
diskio,host=host-192-168-5-3,1559031364000000000,430
diskio,host=host-192-168-5-3,1559031365000000000,425
diskio,host=host-192-168-5-3,1559031366000000000,424
diskio,host=host-192-168-5-3,1559031367000000000,396
diskio,host=host-192-168-5-3,1559031368000000000,417
diskio,host=host-192-168-5-3,1559031369000000000,410
diskio,host=host-192-168-5-3,1559031370000000000,394
diskio,host=host-192-168-5-3,1559031371000000000,412
diskio,host=host-192-168-5-3,1559031372000000000,415
diskio,host=host-192-168-5-3,1559031373000000000,422
diskio,host=host-192-168-5-3,1559031374000000000,417
diskio,host=host-192-168-5-3,1559031375000000000,421
diskio,host=host-192-168-5-3,1559031376000000000,174
diskio,host=host-192-168-5-3,1559031377000000000,0
diskio,host=host-192-168-5-3,1559031378000000000,0
diskio,host=host-192-168-5-3,1559031379000000000,0
diskio,host=host-192-168-5-3,1559031380000000000,0
