SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030846s AND time <= 1559030876s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030847000000000,438
diskio,host=host-192-168-5-3,1559030848000000000,438
diskio,host=host-192-168-5-3,1559030849000000000,456
diskio,host=host-192-168-5-3,1559030850000000000,433
diskio,host=host-192-168-5-3,1559030851000000000,439
diskio,host=host-192-168-5-3,1559030852000000000,349
diskio,host=host-192-168-5-3,1559030853000000000,377
diskio,host=host-192-168-5-3,1559030854000000000,397
diskio,host=host-192-168-5-3,1559030855000000000,386
diskio,host=host-192-168-5-3,1559030856000000000,430
diskio,host=host-192-168-5-3,1559030857000000000,392
diskio,host=host-192-168-5-3,1559030858000000000,343
diskio,host=host-192-168-5-3,1559030859000000000,426
diskio,host=host-192-168-5-3,1559030860000000000,435
diskio,host=host-192-168-5-3,1559030861000000000,435
diskio,host=host-192-168-5-3,1559030862000000000,417
diskio,host=host-192-168-5-3,1559030863000000000,432
diskio,host=host-192-168-5-3,1559030864000000000,434
diskio,host=host-192-168-5-3,1559030865000000000,452
diskio,host=host-192-168-5-3,1559030866000000000,440
diskio,host=host-192-168-5-3,1559030867000000000,449
diskio,host=host-192-168-5-3,1559030868000000000,447
diskio,host=host-192-168-5-3,1559030869000000000,438
diskio,host=host-192-168-5-3,1559030870000000000,430
diskio,host=host-192-168-5-3,1559030871000000000,36
diskio,host=host-192-168-5-3,1559030872000000000,0
diskio,host=host-192-168-5-3,1559030873000000000,0
diskio,host=host-192-168-5-3,1559030874000000000,0
diskio,host=host-192-168-5-3,1559030875000000000,0
diskio,host=host-192-168-5-3,1559030876000000000,0
