SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030353s AND time <= 1559030383s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030354000000000,369
diskio,host=host-192-168-5-3,1559030355000000000,429
diskio,host=host-192-168-5-3,1559030356000000000,422
diskio,host=host-192-168-5-3,1559030357000000000,427
diskio,host=host-192-168-5-3,1559030358000000000,419
diskio,host=host-192-168-5-3,1559030359000000000,401
diskio,host=host-192-168-5-3,1559030360000000000,328
diskio,host=host-192-168-5-3,1559030361000000000,352
diskio,host=host-192-168-5-3,1559030362000000000,376
diskio,host=host-192-168-5-3,1559030363000000000,400
diskio,host=host-192-168-5-3,1559030364000000000,433
diskio,host=host-192-168-5-3,1559030365000000000,366
diskio,host=host-192-168-5-3,1559030366000000000,336
diskio,host=host-192-168-5-3,1559030367000000000,416
diskio,host=host-192-168-5-3,1559030368000000000,421
diskio,host=host-192-168-5-3,1559030369000000000,419
diskio,host=host-192-168-5-3,1559030370000000000,396
diskio,host=host-192-168-5-3,1559030371000000000,401
diskio,host=host-192-168-5-3,1559030372000000000,436
diskio,host=host-192-168-5-3,1559030373000000000,440
diskio,host=host-192-168-5-3,1559030374000000000,428
diskio,host=host-192-168-5-3,1559030375000000000,427
diskio,host=host-192-168-5-3,1559030376000000000,422
diskio,host=host-192-168-5-3,1559030377000000000,416
diskio,host=host-192-168-5-3,1559030378000000000,419
diskio,host=host-192-168-5-3,1559030379000000000,141
diskio,host=host-192-168-5-3,1559030380000000000,0
diskio,host=host-192-168-5-3,1559030381000000000,0
diskio,host=host-192-168-5-3,1559030382000000000,0
diskio,host=host-192-168-5-3,1559030383000000000,0
