SELECT mean("io_read_bytes")/1024/1024 AS "mean_io_read_bytes" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1559031287s AND time <= 1559031317s GROUP BY time(1s), "UUID" FILL(null)
name,tags,time,mean_io_read_bytes
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031287000000000,0
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031288000000000,278.91174125671387
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031289000000000,399.9994239807129
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031290000000000,403.4879484176636
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031291000000000,404.91387939453125
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031292000000000,407.1295108795166
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031293000000000,420.45355129241943
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031294000000000,328.70036220550537
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031295000000000,359.59771728515625
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031296000000000,381.6440372467041
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031297000000000,363.9127206802368
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031298000000000,409.65094566345215
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031299000000000,398.4862632751465
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031300000000000,327.36961364746094
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031301000000000,381.7775716781616
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031302000000000,406.7094564437866
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031303000000000,409.0465278625488
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031304000000000,424.6467504501343
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031305000000000,402.3439884185791
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031306000000000,420.02166748046875
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031307000000000,417.7252311706543
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031308000000000,419.10431480407715
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031309000000000,416.30505561828613
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031310000000000,414.5059690475464
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031311000000000,402.7040824890137
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031312000000000,417.42543601989746
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031313000000000,412.3113431930542
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031314000000000,2.089543342590332
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031315000000000,0
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031316000000000,0
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1559031317000000000,
