SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030783s AND time <= 1559030813s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030784000000000,286
diskio,host=host-192-168-5-3,1559030785000000000,412
diskio,host=host-192-168-5-3,1559030786000000000,407
diskio,host=host-192-168-5-3,1559030787000000000,408
diskio,host=host-192-168-5-3,1559030788000000000,410
diskio,host=host-192-168-5-3,1559030789000000000,438
diskio,host=host-192-168-5-3,1559030790000000000,335
diskio,host=host-192-168-5-3,1559030791000000000,375
diskio,host=host-192-168-5-3,1559030792000000000,381
diskio,host=host-192-168-5-3,1559030793000000000,400
diskio,host=host-192-168-5-3,1559030794000000000,426
diskio,host=host-192-168-5-3,1559030795000000000,370
diskio,host=host-192-168-5-3,1559030796000000000,329
diskio,host=host-192-168-5-3,1559030797000000000,406
diskio,host=host-192-168-5-3,1559030798000000000,419
diskio,host=host-192-168-5-3,1559030799000000000,418
diskio,host=host-192-168-5-3,1559030800000000000,405
diskio,host=host-192-168-5-3,1559030801000000000,409
diskio,host=host-192-168-5-3,1559030802000000000,410
diskio,host=host-192-168-5-3,1559030803000000000,417
diskio,host=host-192-168-5-3,1559030804000000000,426
diskio,host=host-192-168-5-3,1559030805000000000,425
diskio,host=host-192-168-5-3,1559030806000000000,402
diskio,host=host-192-168-5-3,1559030807000000000,427
diskio,host=host-192-168-5-3,1559030808000000000,420
diskio,host=host-192-168-5-3,1559030809000000000,279
diskio,host=host-192-168-5-3,1559030810000000000,0
diskio,host=host-192-168-5-3,1559030811000000000,0
diskio,host=host-192-168-5-3,1559030812000000000,0
diskio,host=host-192-168-5-3,1559030813000000000,0
