SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031476s AND time <= 1559031506s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031477000000000,346
diskio,host=host-192-168-5-3,1559031478000000000,450
diskio,host=host-192-168-5-3,1559031479000000000,439
diskio,host=host-192-168-5-3,1559031480000000000,434
diskio,host=host-192-168-5-3,1559031481000000000,455
diskio,host=host-192-168-5-3,1559031482000000000,404
diskio,host=host-192-168-5-3,1559031483000000000,346
diskio,host=host-192-168-5-3,1559031484000000000,390
diskio,host=host-192-168-5-3,1559031485000000000,388
diskio,host=host-192-168-5-3,1559031486000000000,435
diskio,host=host-192-168-5-3,1559031487000000000,419
diskio,host=host-192-168-5-3,1559031488000000000,353
diskio,host=host-192-168-5-3,1559031489000000000,390
diskio,host=host-192-168-5-3,1559031490000000000,442
diskio,host=host-192-168-5-3,1559031491000000000,430
diskio,host=host-192-168-5-3,1559031492000000000,431
diskio,host=host-192-168-5-3,1559031493000000000,415
diskio,host=host-192-168-5-3,1559031494000000000,438
diskio,host=host-192-168-5-3,1559031495000000000,421
diskio,host=host-192-168-5-3,1559031496000000000,432
diskio,host=host-192-168-5-3,1559031497000000000,451
diskio,host=host-192-168-5-3,1559031498000000000,441
diskio,host=host-192-168-5-3,1559031499000000000,441
diskio,host=host-192-168-5-3,1559031500000000000,442
diskio,host=host-192-168-5-3,1559031501000000000,207
diskio,host=host-192-168-5-3,1559031502000000000,0
diskio,host=host-192-168-5-3,1559031503000000000,0
diskio,host=host-192-168-5-3,1559031504000000000,0
diskio,host=host-192-168-5-3,1559031505000000000,0
diskio,host=host-192-168-5-3,1559031506000000000,0
