SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030295s AND time <= 1559030325s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030296000000000,406
diskio,host=host-192-168-5-3,1559030297000000000,403
diskio,host=host-192-168-5-3,1559030298000000000,411
diskio,host=host-192-168-5-3,1559030299000000000,414
diskio,host=host-192-168-5-3,1559030300000000000,420
diskio,host=host-192-168-5-3,1559030301000000000,390
diskio,host=host-192-168-5-3,1559030302000000000,340
diskio,host=host-192-168-5-3,1559030303000000000,376
diskio,host=host-192-168-5-3,1559030304000000000,385
diskio,host=host-192-168-5-3,1559030305000000000,401
diskio,host=host-192-168-5-3,1559030306000000000,424
diskio,host=host-192-168-5-3,1559030307000000000,354
diskio,host=host-192-168-5-3,1559030308000000000,343
diskio,host=host-192-168-5-3,1559030309000000000,422
diskio,host=host-192-168-5-3,1559030310000000000,422
diskio,host=host-192-168-5-3,1559030311000000000,417
diskio,host=host-192-168-5-3,1559030312000000000,417
diskio,host=host-192-168-5-3,1559030313000000000,417
diskio,host=host-192-168-5-3,1559030314000000000,419
diskio,host=host-192-168-5-3,1559030315000000000,423
diskio,host=host-192-168-5-3,1559030316000000000,420
diskio,host=host-192-168-5-3,1559030317000000000,424
diskio,host=host-192-168-5-3,1559030318000000000,418
diskio,host=host-192-168-5-3,1559030319000000000,418
diskio,host=host-192-168-5-3,1559030320000000000,414
diskio,host=host-192-168-5-3,1559030321000000000,111
diskio,host=host-192-168-5-3,1559030322000000000,0
diskio,host=host-192-168-5-3,1559030323000000000,0
diskio,host=host-192-168-5-3,1559030324000000000,0
diskio,host=host-192-168-5-3,1559030325000000000,0
