SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030073s AND time <= 1559030103s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030074000000000,424
diskio,host=host-192-168-5-3,1559030075000000000,445
diskio,host=host-192-168-5-3,1559030076000000000,439
diskio,host=host-192-168-5-3,1559030077000000000,425
diskio,host=host-192-168-5-3,1559030078000000000,421
diskio,host=host-192-168-5-3,1559030079000000000,344
diskio,host=host-192-168-5-3,1559030080000000000,380
diskio,host=host-192-168-5-3,1559030081000000000,360
diskio,host=host-192-168-5-3,1559030082000000000,398
diskio,host=host-192-168-5-3,1559030083000000000,428
diskio,host=host-192-168-5-3,1559030084000000000,372
diskio,host=host-192-168-5-3,1559030085000000000,352
diskio,host=host-192-168-5-3,1559030086000000000,423
diskio,host=host-192-168-5-3,1559030087000000000,430
diskio,host=host-192-168-5-3,1559030088000000000,442
diskio,host=host-192-168-5-3,1559030089000000000,420
diskio,host=host-192-168-5-3,1559030090000000000,440
diskio,host=host-192-168-5-3,1559030091000000000,408
diskio,host=host-192-168-5-3,1559030092000000000,426
diskio,host=host-192-168-5-3,1559030093000000000,434
diskio,host=host-192-168-5-3,1559030094000000000,422
diskio,host=host-192-168-5-3,1559030095000000000,443
diskio,host=host-192-168-5-3,1559030096000000000,434
diskio,host=host-192-168-5-3,1559030097000000000,447
diskio,host=host-192-168-5-3,1559030098000000000,42
diskio,host=host-192-168-5-3,1559030099000000000,0
diskio,host=host-192-168-5-3,1559030100000000000,0
diskio,host=host-192-168-5-3,1559030101000000000,0
diskio,host=host-192-168-5-3,1559030102000000000,0
diskio,host=host-192-168-5-3,1559030103000000000,0
