SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031413s AND time <= 1559031443s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031414000000000,412
diskio,host=host-192-168-5-3,1559031415000000000,424
diskio,host=host-192-168-5-3,1559031416000000000,414
diskio,host=host-192-168-5-3,1559031417000000000,407
diskio,host=host-192-168-5-3,1559031418000000000,408
diskio,host=host-192-168-5-3,1559031419000000000,396
diskio,host=host-192-168-5-3,1559031420000000000,338
diskio,host=host-192-168-5-3,1559031421000000000,380
diskio,host=host-192-168-5-3,1559031422000000000,388
diskio,host=host-192-168-5-3,1559031423000000000,408
diskio,host=host-192-168-5-3,1559031424000000000,405
diskio,host=host-192-168-5-3,1559031425000000000,360
diskio,host=host-192-168-5-3,1559031426000000000,340
diskio,host=host-192-168-5-3,1559031427000000000,412
diskio,host=host-192-168-5-3,1559031428000000000,430
diskio,host=host-192-168-5-3,1559031429000000000,409
diskio,host=host-192-168-5-3,1559031430000000000,405
diskio,host=host-192-168-5-3,1559031431000000000,407
diskio,host=host-192-168-5-3,1559031432000000000,424
diskio,host=host-192-168-5-3,1559031433000000000,421
diskio,host=host-192-168-5-3,1559031434000000000,79
diskio,host=host-192-168-5-3,1559031435000000000,0
diskio,host=host-192-168-5-3,1559031436000000000,0
diskio,host=host-192-168-5-3,1559031437000000000,0
diskio,host=host-192-168-5-3,1559031438000000000,0
diskio,host=host-192-168-5-3,1559031439000000000,0
diskio,host=host-192-168-5-3,1559031440000000000,0
diskio,host=host-192-168-5-3,1559031441000000000,0
diskio,host=host-192-168-5-3,1559031442000000000,0
diskio,host=host-192-168-5-3,1559031443000000000,0
