SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030257s AND time <= 1559030287s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030258000000000,443
diskio,host=host-192-168-5-3,1559030259000000000,434
diskio,host=host-192-168-5-3,1559030260000000000,438
diskio,host=host-192-168-5-3,1559030261000000000,454
diskio,host=host-192-168-5-3,1559030262000000000,439
diskio,host=host-192-168-5-3,1559030263000000000,344
diskio,host=host-192-168-5-3,1559030264000000000,392
diskio,host=host-192-168-5-3,1559030265000000000,404
diskio,host=host-192-168-5-3,1559030266000000000,412
diskio,host=host-192-168-5-3,1559030267000000000,429
diskio,host=host-192-168-5-3,1559030268000000000,359
diskio,host=host-192-168-5-3,1559030269000000000,378
diskio,host=host-192-168-5-3,1559030270000000000,452
diskio,host=host-192-168-5-3,1559030271000000000,428
diskio,host=host-192-168-5-3,1559030272000000000,429
diskio,host=host-192-168-5-3,1559030273000000000,416
diskio,host=host-192-168-5-3,1559030274000000000,440
diskio,host=host-192-168-5-3,1559030275000000000,444
diskio,host=host-192-168-5-3,1559030276000000000,435
diskio,host=host-192-168-5-3,1559030277000000000,434
diskio,host=host-192-168-5-3,1559030278000000000,442
diskio,host=host-192-168-5-3,1559030279000000000,441
diskio,host=host-192-168-5-3,1559030280000000000,440
diskio,host=host-192-168-5-3,1559030281000000000,278
diskio,host=host-192-168-5-3,1559030282000000000,0
diskio,host=host-192-168-5-3,1559030283000000000,0
diskio,host=host-192-168-5-3,1559030284000000000,0
diskio,host=host-192-168-5-3,1559030285000000000,0
diskio,host=host-192-168-5-3,1559030286000000000,0
diskio,host=host-192-168-5-3,1559030287000000000,0
