SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030972s AND time <= 1559031002s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030973000000000,409
diskio,host=host-192-168-5-3,1559030974000000000,414
diskio,host=host-192-168-5-3,1559030975000000000,412
diskio,host=host-192-168-5-3,1559030976000000000,413
diskio,host=host-192-168-5-3,1559030977000000000,421
diskio,host=host-192-168-5-3,1559030978000000000,380
diskio,host=host-192-168-5-3,1559030979000000000,344
diskio,host=host-192-168-5-3,1559030980000000000,390
diskio,host=host-192-168-5-3,1559030981000000000,375
diskio,host=host-192-168-5-3,1559030982000000000,408
diskio,host=host-192-168-5-3,1559030983000000000,413
diskio,host=host-192-168-5-3,1559030984000000000,331
diskio,host=host-192-168-5-3,1559030985000000000,373
diskio,host=host-192-168-5-3,1559030986000000000,426
diskio,host=host-192-168-5-3,1559030987000000000,428
diskio,host=host-192-168-5-3,1559030988000000000,417
diskio,host=host-192-168-5-3,1559030989000000000,397
diskio,host=host-192-168-5-3,1559030990000000000,427
diskio,host=host-192-168-5-3,1559030991000000000,413
diskio,host=host-192-168-5-3,1559030992000000000,425
diskio,host=host-192-168-5-3,1559030993000000000,423
diskio,host=host-192-168-5-3,1559030994000000000,422
diskio,host=host-192-168-5-3,1559030995000000000,428.51953125
diskio,host=host-192-168-5-3,1559030996000000000,413.48046875
diskio,host=host-192-168-5-3,1559030997000000000,431
diskio,host=host-192-168-5-3,1559030998000000000,0
diskio,host=host-192-168-5-3,1559030999000000000,0
diskio,host=host-192-168-5-3,1559031000000000000,0
diskio,host=host-192-168-5-3,1559031001000000000,0
diskio,host=host-192-168-5-3,1559031002000000000,0
