SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031540s AND time <= 1559031570s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031541000000000,432
diskio,host=host-192-168-5-3,1559031542000000000,460
diskio,host=host-192-168-5-3,1559031543000000000,425
diskio,host=host-192-168-5-3,1559031544000000000,431
diskio,host=host-192-168-5-3,1559031545000000000,384
diskio,host=host-192-168-5-3,1559031546000000000,329
diskio,host=host-192-168-5-3,1559031547000000000,395
diskio,host=host-192-168-5-3,1559031548000000000,402
diskio,host=host-192-168-5-3,1559031549000000000,428
diskio,host=host-192-168-5-3,1559031550000000000,422
diskio,host=host-192-168-5-3,1559031551000000000,348
diskio,host=host-192-168-5-3,1559031552000000000,372
diskio,host=host-192-168-5-3,1559031553000000000,420
diskio,host=host-192-168-5-3,1559031554000000000,447
diskio,host=host-192-168-5-3,1559031555000000000,428
diskio,host=host-192-168-5-3,1559031556000000000,412
diskio,host=host-192-168-5-3,1559031557000000000,433
diskio,host=host-192-168-5-3,1559031558000000000,432
diskio,host=host-192-168-5-3,1559031559000000000,425
diskio,host=host-192-168-5-3,1559031560000000000,438
diskio,host=host-192-168-5-3,1559031561000000000,431
diskio,host=host-192-168-5-3,1559031562000000000,438
diskio,host=host-192-168-5-3,1559031563000000000,428
diskio,host=host-192-168-5-3,1559031564000000000,306
diskio,host=host-192-168-5-3,1559031565000000000,0
diskio,host=host-192-168-5-3,1559031566000000000,0
diskio,host=host-192-168-5-3,1559031567000000000,0
diskio,host=host-192-168-5-3,1559031568000000000,0
diskio,host=host-192-168-5-3,1559031569000000000,0
diskio,host=host-192-168-5-3,1559031570000000000,0
