SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031035s AND time <= 1559031065s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031036000000000,403
diskio,host=host-192-168-5-3,1559031037000000000,400
diskio,host=host-192-168-5-3,1559031038000000000,406
diskio,host=host-192-168-5-3,1559031039000000000,406
diskio,host=host-192-168-5-3,1559031040000000000,406
diskio,host=host-192-168-5-3,1559031041000000000,396
diskio,host=host-192-168-5-3,1559031042000000000,302
diskio,host=host-192-168-5-3,1559031043000000000,359
diskio,host=host-192-168-5-3,1559031044000000000,361
diskio,host=host-192-168-5-3,1559031045000000000,388
diskio,host=host-192-168-5-3,1559031046000000000,406
diskio,host=host-192-168-5-3,1559031047000000000,368
diskio,host=host-192-168-5-3,1559031048000000000,317
diskio,host=host-192-168-5-3,1559031049000000000,389
diskio,host=host-192-168-5-3,1559031050000000000,422
diskio,host=host-192-168-5-3,1559031051000000000,413
diskio,host=host-192-168-5-3,1559031052000000000,403
diskio,host=host-192-168-5-3,1559031053000000000,395
diskio,host=host-192-168-5-3,1559031054000000000,410
diskio,host=host-192-168-5-3,1559031055000000000,411
diskio,host=host-192-168-5-3,1559031056000000000,405
diskio,host=host-192-168-5-3,1559031057000000000,402
diskio,host=host-192-168-5-3,1559031058000000000,405
diskio,host=host-192-168-5-3,1559031059000000000,403
diskio,host=host-192-168-5-3,1559031060000000000,411
diskio,host=host-192-168-5-3,1559031061000000000,410
diskio,host=host-192-168-5-3,1559031062000000000,24
diskio,host=host-192-168-5-3,1559031063000000000,0
diskio,host=host-192-168-5-3,1559031064000000000,0
diskio,host=host-192-168-5-3,1559031065000000000,0
