SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031098s AND time <= 1559031128s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031099000000000,400
diskio,host=host-192-168-5-3,1559031100000000000,417
diskio,host=host-192-168-5-3,1559031101000000000,422
diskio,host=host-192-168-5-3,1559031102000000000,424
diskio,host=host-192-168-5-3,1559031103000000000,436
diskio,host=host-192-168-5-3,1559031104000000000,394
diskio,host=host-192-168-5-3,1559031105000000000,347
diskio,host=host-192-168-5-3,1559031106000000000,385
diskio,host=host-192-168-5-3,1559031107000000000,376
diskio,host=host-192-168-5-3,1559031108000000000,419
diskio,host=host-192-168-5-3,1559031109000000000,422
diskio,host=host-192-168-5-3,1559031110000000000,357
diskio,host=host-192-168-5-3,1559031111000000000,369
diskio,host=host-192-168-5-3,1559031112000000000,428
diskio,host=host-192-168-5-3,1559031113000000000,426
diskio,host=host-192-168-5-3,1559031114000000000,426
diskio,host=host-192-168-5-3,1559031115000000000,409
diskio,host=host-192-168-5-3,1559031116000000000,425
diskio,host=host-192-168-5-3,1559031117000000000,430
diskio,host=host-192-168-5-3,1559031118000000000,430
diskio,host=host-192-168-5-3,1559031119000000000,426
diskio,host=host-192-168-5-3,1559031120000000000,415
diskio,host=host-192-168-5-3,1559031121000000000,423
diskio,host=host-192-168-5-3,1559031122000000000,417
diskio,host=host-192-168-5-3,1559031123000000000,383
diskio,host=host-192-168-5-3,1559031124000000000,0
diskio,host=host-192-168-5-3,1559031125000000000,0
diskio,host=host-192-168-5-3,1559031126000000000,0
diskio,host=host-192-168-5-3,1559031127000000000,0
diskio,host=host-192-168-5-3,1559031128000000000,0
