SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559030121s AND time <= 1559030151s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559030122000000000,427
diskio,host=host-192-168-5-3,1559030123000000000,424
diskio,host=host-192-168-5-3,1559030124000000000,432
diskio,host=host-192-168-5-3,1559030125000000000,437
diskio,host=host-192-168-5-3,1559030126000000000,424
diskio,host=host-192-168-5-3,1559030127000000000,333
diskio,host=host-192-168-5-3,1559030128000000000,377
diskio,host=host-192-168-5-3,1559030129000000000,391
diskio,host=host-192-168-5-3,1559030130000000000,405
diskio,host=host-192-168-5-3,1559030131000000000,419
diskio,host=host-192-168-5-3,1559030132000000000,365
diskio,host=host-192-168-5-3,1559030133000000000,352
diskio,host=host-192-168-5-3,1559030134000000000,421
diskio,host=host-192-168-5-3,1559030135000000000,429
diskio,host=host-192-168-5-3,1559030136000000000,419
diskio,host=host-192-168-5-3,1559030137000000000,423
diskio,host=host-192-168-5-3,1559030138000000000,430
diskio,host=host-192-168-5-3,1559030139000000000,427
diskio,host=host-192-168-5-3,1559030140000000000,428
diskio,host=host-192-168-5-3,1559030141000000000,437
diskio,host=host-192-168-5-3,1559030142000000000,447
diskio,host=host-192-168-5-3,1559030143000000000,444
diskio,host=host-192-168-5-3,1559030144000000000,442
diskio,host=host-192-168-5-3,1559030145000000000,419
diskio,host=host-192-168-5-3,1559030146000000000,0
diskio,host=host-192-168-5-3,1559030147000000000,0
diskio,host=host-192-168-5-3,1559030148000000000,0
diskio,host=host-192-168-5-3,1559030149000000000,0
diskio,host=host-192-168-5-3,1559030150000000000,0
diskio,host=host-192-168-5-3,1559030151000000000,0
