SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031287s AND time <= 1559031317s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031288000000000,321
diskio,host=host-192-168-5-3,1559031289000000000,400
diskio,host=host-192-168-5-3,1559031290000000000,403
diskio,host=host-192-168-5-3,1559031291000000000,406
diskio,host=host-192-168-5-3,1559031292000000000,408
diskio,host=host-192-168-5-3,1559031293000000000,419
diskio,host=host-192-168-5-3,1559031294000000000,322
diskio,host=host-192-168-5-3,1559031295000000000,364
diskio,host=host-192-168-5-3,1559031296000000000,374
diskio,host=host-192-168-5-3,1559031297000000000,375
diskio,host=host-192-168-5-3,1559031298000000000,407
diskio,host=host-192-168-5-3,1559031299000000000,393
diskio,host=host-192-168-5-3,1559031300000000000,326
diskio,host=host-192-168-5-3,1559031301000000000,389
diskio,host=host-192-168-5-3,1559031302000000000,408
diskio,host=host-192-168-5-3,1559031303000000000,410
diskio,host=host-192-168-5-3,1559031304000000000,422
diskio,host=host-192-168-5-3,1559031305000000000,405
diskio,host=host-192-168-5-3,1559031306000000000,420
diskio,host=host-192-168-5-3,1559031307000000000,418
diskio,host=host-192-168-5-3,1559031308000000000,419
diskio,host=host-192-168-5-3,1559031309000000000,416
diskio,host=host-192-168-5-3,1559031310000000000,413
diskio,host=host-192-168-5-3,1559031311000000000,404
diskio,host=host-192-168-5-3,1559031312000000000,417
diskio,host=host-192-168-5-3,1559031313000000000,381
diskio,host=host-192-168-5-3,1559031314000000000,0
diskio,host=host-192-168-5-3,1559031315000000000,0
diskio,host=host-192-168-5-3,1559031316000000000,0
diskio,host=host-192-168-5-3,1559031317000000000,0
