SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559034422s AND time <= 1559034472s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559034423000000000,254.8438663482666
net,host=host-192-168-5-3,1559034424000000000,295.40149879455566
net,host=host-192-168-5-3,1559034425000000000,305.62530422210693
net,host=host-192-168-5-3,1559034426000000000,225.51955890655518
net,host=host-192-168-5-3,1559034427000000000,275.69110679626465
net,host=host-192-168-5-3,1559034428000000000,258.39199447631836
net,host=host-192-168-5-3,1559034429000000000,383.6805143356323
net,host=host-192-168-5-3,1559034430000000000,218.03218173980713
net,host=host-192-168-5-3,1559034431000000000,247.45617294311523
net,host=host-192-168-5-3,1559034432000000000,272.3067989349365
net,host=host-192-168-5-3,1559034433000000000,289.1575870513916
net,host=host-192-168-5-3,1559034434000000000,295.7225217819214
net,host=host-192-168-5-3,1559034435000000000,292.10685443878174
net,host=host-192-168-5-3,1559034436000000000,292.75880241394043
net,host=host-192-168-5-3,1559034437000000000,307.0189447402954
net,host=host-192-168-5-3,1559034438000000000,244.42839431762695
net,host=host-192-168-5-3,1559034439000000000,260.79413509368896
net,host=host-192-168-5-3,1559034440000000000,290.90832233428955
net,host=host-192-168-5-3,1559034441000000000,309.40435695648193
net,host=host-192-168-5-3,1559034442000000000,289.0056343078613
net,host=host-192-168-5-3,1559034443000000000,286.5856409072876
net,host=host-192-168-5-3,1559034444000000000,254.3470230102539
net,host=host-192-168-5-3,1559034445000000000,227.90491771697998
net,host=host-192-168-5-3,1559034446000000000,268.3474454879761
net,host=host-192-168-5-3,1559034447000000000,293.02152252197266
net,host=host-192-168-5-3,1559034448000000000,273.2071113586426
net,host=host-192-168-5-3,1559034449000000000,329.0860900878906
net,host=host-192-168-5-3,1559034450000000000,291.32541275024414
net,host=host-192-168-5-3,1559034451000000000,323.11235332489014
net,host=host-192-168-5-3,1559034452000000000,264.86540699005127
net,host=host-192-168-5-3,1559034453000000000,243.18373012542725
net,host=host-192-168-5-3,1559034454000000000,257.58228874206543
net,host=host-192-168-5-3,1559034455000000000,271.0821132659912
net,host=host-192-168-5-3,1559034456000000000,334.3696460723877
net,host=host-192-168-5-3,1559034457000000000,296.16612911224365
net,host=host-192-168-5-3,1559034458000000000,269.57502937316895
net,host=host-192-168-5-3,1559034459000000000,193.23123455047607
net,host=host-192-168-5-3,1559034460000000000,0.02821063995361328
net,host=host-192-168-5-3,1559034461000000000,0.012678146362304688
net,host=host-192-168-5-3,1559034462000000000,0.014146804809570312
net,host=host-192-168-5-3,1559034463000000000,0.013241767883300781
net,host=host-192-168-5-3,1559034464000000000,0.014535903930664062
net,host=host-192-168-5-3,1559034465000000000,0.013272285461425781
net,host=host-192-168-5-3,1559034466000000000,0.016252517700195312
net,host=host-192-168-5-3,1559034467000000000,0.015212059020996094
net,host=host-192-168-5-3,1559034468000000000,0.013811111450195312
net,host=host-192-168-5-3,1559034469000000000,0.013274192810058594
net,host=host-192-168-5-3,1559034470000000000,0.029753684997558594
net,host=host-192-168-5-3,1559034471000000000,0.013148307800292969
net,host=host-192-168-5-3,1559034472000000000,0.014776229858398438
