SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559036542s AND time <= 1559036592s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559036543000000000,158.60750770568848
net,host=host-192-168-5-3,1559036544000000000,236.0256223678589
net,host=host-192-168-5-3,1559036545000000000,323.06107807159424
net,host=host-192-168-5-3,1559036546000000000,243.2615041732788
net,host=host-192-168-5-3,1559036547000000000,307.7368230819702
net,host=host-192-168-5-3,1559036548000000000,284.0775785446167
net,host=host-192-168-5-3,1559036549000000000,204.6872615814209
net,host=host-192-168-5-3,1559036550000000000,326.4176826477051
net,host=host-192-168-5-3,1559036551000000000,277.6130428314209
net,host=host-192-168-5-3,1559036552000000000,332.5590534210205
net,host=host-192-168-5-3,1559036553000000000,323.97267055511475
net,host=host-192-168-5-3,1559036554000000000,344.79753494262695
net,host=host-192-168-5-3,1559036555000000000,293.701904296875
net,host=host-192-168-5-3,1559036556000000000,295.45372104644775
net,host=host-192-168-5-3,1559036557000000000,120.47844409942627
net,host=host-192-168-5-3,1559036558000000000,241.6664915084839
net,host=host-192-168-5-3,1559036559000000000,306.4075765609741
net,host=host-192-168-5-3,1559036560000000000,258.2157859802246
net,host=host-192-168-5-3,1559036561000000000,200.43319129943848
net,host=host-192-168-5-3,1559036562000000000,230.82499504089355
net,host=host-192-168-5-3,1559036563000000000,289.43500900268555
net,host=host-192-168-5-3,1559036564000000000,229.2697048187256
net,host=host-192-168-5-3,1559036565000000000,178.68303775787354
net,host=host-192-168-5-3,1559036566000000000,232.6104965209961
net,host=host-192-168-5-3,1559036567000000000,265.383975982666
net,host=host-192-168-5-3,1559036568000000000,257.50867462158203
net,host=host-192-168-5-3,1559036569000000000,189.94218730926514
net,host=host-192-168-5-3,1559036570000000000,293.02878856658936
net,host=host-192-168-5-3,1559036571000000000,290.7203540802002
net,host=host-192-168-5-3,1559036572000000000,258.5560083389282
net,host=host-192-168-5-3,1559036573000000000,315.68989658355713
net,host=host-192-168-5-3,1559036574000000000,307.5071611404419
net,host=host-192-168-5-3,1559036575000000000,255.76973152160645
net,host=host-192-168-5-3,1559036576000000000,303.81056213378906
net,host=host-192-168-5-3,1559036577000000000,298.20809268951416
net,host=host-192-168-5-3,1559036578000000000,341.1743927001953
net,host=host-192-168-5-3,1559036579000000000,317.7328872680664
net,host=host-192-168-5-3,1559036580000000000,244.1203908920288
net,host=host-192-168-5-3,1559036581000000000,41.742177963256836
net,host=host-192-168-5-3,1559036582000000000,0.01647663116455078
net,host=host-192-168-5-3,1559036583000000000,0.014697074890136719
net,host=host-192-168-5-3,1559036584000000000,0.013347625732421875
net,host=host-192-168-5-3,1559036585000000000,0.014795303344726562
net,host=host-192-168-5-3,1559036586000000000,0.028244972229003906
net,host=host-192-168-5-3,1559036587000000000,0.014582633972167969
net,host=host-192-168-5-3,1559036588000000000,0.014430999755859375
net,host=host-192-168-5-3,1559036589000000000,0.014613151550292969
net,host=host-192-168-5-3,1559036590000000000,0.013112068176269531
net,host=host-192-168-5-3,1559036591000000000,0.015794754028320312
net,host=host-192-168-5-3,1559036592000000000,0.014618873596191406
