SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559035593s AND time <= 1559035643s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559035594000000000,273.7052526473999
net,host=host-192-168-5-3,1559035595000000000,266.91730213165283
net,host=host-192-168-5-3,1559035596000000000,309.50604915618896
net,host=host-192-168-5-3,1559035597000000000,254.8538818359375
net,host=host-192-168-5-3,1559035598000000000,189.5913486480713
net,host=host-192-168-5-3,1559035599000000000,239.52106761932373
net,host=host-192-168-5-3,1559035600000000000,287.1881494522095
net,host=host-192-168-5-3,1559035601000000000,287.6549758911133
net,host=host-192-168-5-3,1559035602000000000,259.60721492767334
net,host=host-192-168-5-3,1559035603000000000,193.2984447479248
net,host=host-192-168-5-3,1559035604000000000,272.35533714294434
net,host=host-192-168-5-3,1559035605000000000,235.36215591430664
net,host=host-192-168-5-3,1559035606000000000,247.39556884765625
net,host=host-192-168-5-3,1559035607000000000,274.910267829895
net,host=host-192-168-5-3,1559035608000000000,287.4511089324951
net,host=host-192-168-5-3,1559035609000000000,234.92717933654785
net,host=host-192-168-5-3,1559035610000000000,313.6617259979248
net,host=host-192-168-5-3,1559035611000000000,303.47297382354736
net,host=host-192-168-5-3,1559035612000000000,283.6680669784546
net,host=host-192-168-5-3,1559035613000000000,307.46388149261475
net,host=host-192-168-5-3,1559035614000000000,196.75732040405273
net,host=host-192-168-5-3,1559035615000000000,262.0119981765747
net,host=host-192-168-5-3,1559035616000000000,244.8882703781128
net,host=host-192-168-5-3,1559035617000000000,323.23756408691406
net,host=host-192-168-5-3,1559035618000000000,317.8368730545044
net,host=host-192-168-5-3,1559035619000000000,286.91369342803955
net,host=host-192-168-5-3,1559035620000000000,249.95788478851318
net,host=host-192-168-5-3,1559035621000000000,266.4627618789673
net,host=host-192-168-5-3,1559035622000000000,315.93888568878174
net,host=host-192-168-5-3,1559035623000000000,321.7758312225342
net,host=host-192-168-5-3,1559035624000000000,311.35015296936035
net,host=host-192-168-5-3,1559035625000000000,303.64406871795654
net,host=host-192-168-5-3,1559035626000000000,321.6458406448364
net,host=host-192-168-5-3,1559035627000000000,338.8293991088867
net,host=host-192-168-5-3,1559035628000000000,251.15937423706055
net,host=host-192-168-5-3,1559035629000000000,194.3490228652954
net,host=host-192-168-5-3,1559035630000000000,280.7363796234131
net,host=host-192-168-5-3,1559035631000000000,8.380758285522461
net,host=host-192-168-5-3,1559035632000000000,0.013706207275390625
net,host=host-192-168-5-3,1559035633000000000,0.0177154541015625
net,host=host-192-168-5-3,1559035634000000000,0.01195526123046875
net,host=host-192-168-5-3,1559035635000000000,0.015665054321289062
net,host=host-192-168-5-3,1559035636000000000,0.015389442443847656
net,host=host-192-168-5-3,1559035637000000000,0.014058113098144531
net,host=host-192-168-5-3,1559035638000000000,0.014955520629882812
net,host=host-192-168-5-3,1559035639000000000,0.01546478271484375
net,host=host-192-168-5-3,1559035640000000000,0.03369426727294922
net,host=host-192-168-5-3,1559035641000000000,0.008708953857421875
net,host=host-192-168-5-3,1559035642000000000,0.01583576202392578
net,host=host-192-168-5-3,1559035643000000000,0.016780853271484375
