SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559036396s AND time <= 1559036446s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559036397000000000,225.24127006530762
net,host=host-192-168-5-3,1559036398000000000,256.0500650405884
net,host=host-192-168-5-3,1559036399000000000,294.284143447876
net,host=host-192-168-5-3,1559036400000000000,210.65889072418213
net,host=host-192-168-5-3,1559036401000000000,174.1980390548706
net,host=host-192-168-5-3,1559036402000000000,252.0841770172119
net,host=host-192-168-5-3,1559036403000000000,259.9714870452881
net,host=host-192-168-5-3,1559036404000000000,288.31366634368896
net,host=host-192-168-5-3,1559036405000000000,281.3307228088379
net,host=host-192-168-5-3,1559036406000000000,276.3962116241455
net,host=host-192-168-5-3,1559036407000000000,318.080961227417
net,host=host-192-168-5-3,1559036408000000000,262.34164810180664
net,host=host-192-168-5-3,1559036409000000000,248.092303276062
net,host=host-192-168-5-3,1559036410000000000,286.3896961212158
net,host=host-192-168-5-3,1559036411000000000,279.8658275604248
net,host=host-192-168-5-3,1559036412000000000,256.31977939605713
net,host=host-192-168-5-3,1559036413000000000,308.898717880249
net,host=host-192-168-5-3,1559036414000000000,209.3230152130127
net,host=host-192-168-5-3,1559036415000000000,327.0241756439209
net,host=host-192-168-5-3,1559036416000000000,351.23716926574707
net,host=host-192-168-5-3,1559036417000000000,295.0125455856323
net,host=host-192-168-5-3,1559036418000000000,335.27485179901123
net,host=host-192-168-5-3,1559036419000000000,328.73702335357666
net,host=host-192-168-5-3,1559036420000000000,284.37086391448975
net,host=host-192-168-5-3,1559036421000000000,321.1871747970581
net,host=host-192-168-5-3,1559036422000000000,275.43714237213135
net,host=host-192-168-5-3,1559036423000000000,265.42663288116455
net,host=host-192-168-5-3,1559036424000000000,250.92264938354492
net,host=host-192-168-5-3,1559036425000000000,260.1742343902588
net,host=host-192-168-5-3,1559036426000000000,291.9316749572754
net,host=host-192-168-5-3,1559036427000000000,224.18252277374268
net,host=host-192-168-5-3,1559036428000000000,286.7392349243164
net,host=host-192-168-5-3,1559036429000000000,321.6295747756958
net,host=host-192-168-5-3,1559036430000000000,302.4647388458252
net,host=host-192-168-5-3,1559036431000000000,296.7177143096924
net,host=host-192-168-5-3,1559036432000000000,325.893009185791
net,host=host-192-168-5-3,1559036433000000000,162.9771556854248
net,host=host-192-168-5-3,1559036434000000000,0.023149490356445312
net,host=host-192-168-5-3,1559036435000000000,0.01346588134765625
net,host=host-192-168-5-3,1559036436000000000,0.031203269958496094
net,host=host-192-168-5-3,1559036437000000000,0.014739990234375
net,host=host-192-168-5-3,1559036438000000000,0.014523506164550781
net,host=host-192-168-5-3,1559036439000000000,0.013344764709472656
net,host=host-192-168-5-3,1559036440000000000,0.016693115234375
net,host=host-192-168-5-3,1559036441000000000,0.011545181274414062
net,host=host-192-168-5-3,1559036442000000000,0.015265464782714844
net,host=host-192-168-5-3,1559036443000000000,0.015062332153320312
net,host=host-192-168-5-3,1559036444000000000,0.014490127563476562
net,host=host-192-168-5-3,1559036445000000000,0.01520538330078125
net,host=host-192-168-5-3,1559036446000000000,0.014364242553710938
