SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559036031s AND time <= 1559036081s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559036032000000000,258.496244430542
net,host=host-192-168-5-3,1559036033000000000,331.90744400024414
net,host=host-192-168-5-3,1559036034000000000,239.81516647338867
net,host=host-192-168-5-3,1559036035000000000,209.47119140625
net,host=host-192-168-5-3,1559036036000000000,246.98857402801514
net,host=host-192-168-5-3,1559036037000000000,270.42677211761475
net,host=host-192-168-5-3,1559036038000000000,255.99437141418457
net,host=host-192-168-5-3,1559036039000000000,260.2659969329834
net,host=host-192-168-5-3,1559036040000000000,198.7768030166626
net,host=host-192-168-5-3,1559036041000000000,289.6328582763672
net,host=host-192-168-5-3,1559036042000000000,241.1911497116089
net,host=host-192-168-5-3,1559036043000000000,249.0369529724121
net,host=host-192-168-5-3,1559036044000000000,330.3607873916626
net,host=host-192-168-5-3,1559036045000000000,262.5004873275757
net,host=host-192-168-5-3,1559036046000000000,280.68997383117676
net,host=host-192-168-5-3,1559036047000000000,265.931263923645
net,host=host-192-168-5-3,1559036048000000000,301.9442844390869
net,host=host-192-168-5-3,1559036049000000000,257.6806402206421
net,host=host-192-168-5-3,1559036050000000000,267.8712491989136
net,host=host-192-168-5-3,1559036051000000000,311.9920883178711
net,host=host-192-168-5-3,1559036052000000000,272.8163089752197
net,host=host-192-168-5-3,1559036053000000000,302.6763982772827
net,host=host-192-168-5-3,1559036054000000000,334.15240573883057
net,host=host-192-168-5-3,1559036055000000000,292.77184295654297
net,host=host-192-168-5-3,1559036056000000000,226.98223400115967
net,host=host-192-168-5-3,1559036057000000000,290.2535161972046
net,host=host-192-168-5-3,1559036058000000000,265.30428314208984
net,host=host-192-168-5-3,1559036059000000000,283.69646549224854
net,host=host-192-168-5-3,1559036060000000000,289.4910612106323
net,host=host-192-168-5-3,1559036061000000000,293.8989210128784
net,host=host-192-168-5-3,1559036062000000000,249.5234785079956
net,host=host-192-168-5-3,1559036063000000000,161.7719430923462
net,host=host-192-168-5-3,1559036064000000000,260.3153896331787
net,host=host-192-168-5-3,1559036065000000000,280.3528242111206
net,host=host-192-168-5-3,1559036066000000000,286.1016845703125
net,host=host-192-168-5-3,1559036067000000000,326.4952058792114
net,host=host-192-168-5-3,1559036068000000000,285.01724910736084
net,host=host-192-168-5-3,1559036069000000000,121.88240718841553
net,host=host-192-168-5-3,1559036070000000000,0.01913928985595703
net,host=host-192-168-5-3,1559036071000000000,0.013356208801269531
net,host=host-192-168-5-3,1559036072000000000,0.017932891845703125
net,host=host-192-168-5-3,1559036073000000000,0.01448822021484375
net,host=host-192-168-5-3,1559036074000000000,0.010473251342773438
net,host=host-192-168-5-3,1559036075000000000,0.027496337890625
net,host=host-192-168-5-3,1559036076000000000,0.014225959777832031
net,host=host-192-168-5-3,1559036077000000000,0.015802383422851562
net,host=host-192-168-5-3,1559036078000000000,0.015257835388183594
net,host=host-192-168-5-3,1559036079000000000,0.013684272766113281
net,host=host-192-168-5-3,1559036080000000000,0.013525962829589844
net,host=host-192-168-5-3,1559036081000000000,0.015050888061523438
