SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559035520s AND time <= 1559035570s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559035521000000000,254.27258586883545
net,host=host-192-168-5-3,1559035522000000000,304.7932367324829
net,host=host-192-168-5-3,1559035523000000000,321.8394536972046
net,host=host-192-168-5-3,1559035524000000000,286.6481866836548
net,host=host-192-168-5-3,1559035525000000000,325.58217334747314
net,host=host-192-168-5-3,1559035526000000000,233.93853378295898
net,host=host-192-168-5-3,1559035527000000000,256.4397554397583
net,host=host-192-168-5-3,1559035528000000000,281.6764974594116
net,host=host-192-168-5-3,1559035529000000000,290.5254135131836
net,host=host-192-168-5-3,1559035530000000000,341.9746255874634
net,host=host-192-168-5-3,1559035531000000000,253.45466899871826
net,host=host-192-168-5-3,1559035532000000000,273.71697902679443
net,host=host-192-168-5-3,1559035533000000000,279.3507537841797
net,host=host-192-168-5-3,1559035534000000000,204.48582363128662
net,host=host-192-168-5-3,1559035535000000000,318.38615226745605
net,host=host-192-168-5-3,1559035536000000000,322.99892711639404
net,host=host-192-168-5-3,1559035537000000000,305.1098871231079
net,host=host-192-168-5-3,1559035538000000000,194.39588928222656
net,host=host-192-168-5-3,1559035539000000000,283.5191602706909
net,host=host-192-168-5-3,1559035540000000000,310.0825309753418
net,host=host-192-168-5-3,1559035541000000000,180.46196460723877
net,host=host-192-168-5-3,1559035542000000000,259.62538146972656
net,host=host-192-168-5-3,1559035543000000000,286.532883644104
net,host=host-192-168-5-3,1559035544000000000,228.66649055480957
net,host=host-192-168-5-3,1559035545000000000,314.3002071380615
net,host=host-192-168-5-3,1559035546000000000,298.57699394226074
net,host=host-192-168-5-3,1559035547000000000,270.2174072265625
net,host=host-192-168-5-3,1559035548000000000,252.23165225982666
net,host=host-192-168-5-3,1559035549000000000,279.42324352264404
net,host=host-192-168-5-3,1559035550000000000,293.3506669998169
net,host=host-192-168-5-3,1559035551000000000,261.50630474090576
net,host=host-192-168-5-3,1559035552000000000,226.67466735839844
net,host=host-192-168-5-3,1559035553000000000,211.5823793411255
net,host=host-192-168-5-3,1559035554000000000,188.39217853546143
net,host=host-192-168-5-3,1559035555000000000,347.9695739746094
net,host=host-192-168-5-3,1559035556000000000,220.8196201324463
net,host=host-192-168-5-3,1559035557000000000,302.39129734039307
net,host=host-192-168-5-3,1559035558000000000,29.749309539794922
net,host=host-192-168-5-3,1559035559000000000,0.011524200439453125
net,host=host-192-168-5-3,1559035560000000000,0.0162811279296875
net,host=host-192-168-5-3,1559035561000000000,0.014049530029296875
net,host=host-192-168-5-3,1559035562000000000,0.013365745544433594
net,host=host-192-168-5-3,1559035563000000000,0.017648696899414062
net,host=host-192-168-5-3,1559035564000000000,0.012979507446289062
net,host=host-192-168-5-3,1559035565000000000,0.028875350952148438
net,host=host-192-168-5-3,1559035566000000000,0.014270782470703125
net,host=host-192-168-5-3,1559035567000000000,0.014383316040039062
net,host=host-192-168-5-3,1559035568000000000,0.014127731323242188
net,host=host-192-168-5-3,1559035569000000000,0.014237403869628906
net,host=host-192-168-5-3,1559035570000000000,0.01578807830810547
