SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559033850s AND time <= 1559033900s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559033851000000000,227.34604930877686
net,host=host-192-168-5-3,1559033852000000000,289.5986576080322
net,host=host-192-168-5-3,1559033853000000000,292.4263753890991
net,host=host-192-168-5-3,1559033854000000000,171.42148780822754
net,host=host-192-168-5-3,1559033855000000000,248.75205039978027
net,host=host-192-168-5-3,1559033856000000000,243.511381149292
net,host=host-192-168-5-3,1559033857000000000,213.7530813217163
net,host=host-192-168-5-3,1559033858000000000,254.7112283706665
net,host=host-192-168-5-3,1559033859000000000,296.4347915649414
net,host=host-192-168-5-3,1559033860000000000,268.02234649658203
net,host=host-192-168-5-3,1559033861000000000,237.9801149368286
net,host=host-192-168-5-3,1559033862000000000,240.979172706604
net,host=host-192-168-5-3,1559033863000000000,231.02312183380127
net,host=host-192-168-5-3,1559033864000000000,266.13961124420166
net,host=host-192-168-5-3,1559033865000000000,276.1053400039673
net,host=host-192-168-5-3,1559033866000000000,242.22984313964844
net,host=host-192-168-5-3,1559033867000000000,224.57191467285156
net,host=host-192-168-5-3,1559033868000000000,165.79456424713135
net,host=host-192-168-5-3,1559033869000000000,258.9215784072876
net,host=host-192-168-5-3,1559033870000000000,285.7712631225586
net,host=host-192-168-5-3,1559033871000000000,257.61547565460205
net,host=host-192-168-5-3,1559033872000000000,292.0177974700928
net,host=host-192-168-5-3,1559033873000000000,244.30674839019775
net,host=host-192-168-5-3,1559033874000000000,228.6025094985962
net,host=host-192-168-5-3,1559033875000000000,324.88658237457275
net,host=host-192-168-5-3,1559033876000000000,259.56151390075684
net,host=host-192-168-5-3,1559033877000000000,272.9554166793823
net,host=host-192-168-5-3,1559033878000000000,247.5355100631714
net,host=host-192-168-5-3,1559033879000000000,216.26764678955078
net,host=host-192-168-5-3,1559033880000000000,226.34791469573975
net,host=host-192-168-5-3,1559033881000000000,153.80789184570312
net,host=host-192-168-5-3,1559033882000000000,255.18839359283447
net,host=host-192-168-5-3,1559033883000000000,311.6206464767456
net,host=host-192-168-5-3,1559033884000000000,244.04614543914795
net,host=host-192-168-5-3,1559033885000000000,273.8066806793213
net,host=host-192-168-5-3,1559033886000000000,281.1789655685425
net,host=host-192-168-5-3,1559033887000000000,298.8558511734009
net,host=host-192-168-5-3,1559033888000000000,255.2387056350708
net,host=host-192-168-5-3,1559033889000000000,234.1057014465332
net,host=host-192-168-5-3,1559033890000000000,249.96395301818848
net,host=host-192-168-5-3,1559033891000000000,217.23958206176758
net,host=host-192-168-5-3,1559033892000000000,0.036873817443847656
net,host=host-192-168-5-3,1559033893000000000,0.009393692016601562
net,host=host-192-168-5-3,1559033894000000000,0.011376380920410156
net,host=host-192-168-5-3,1559033895000000000,0.015367507934570312
net,host=host-192-168-5-3,1559033896000000000,0.013019561767578125
net,host=host-192-168-5-3,1559033897000000000,0.023613929748535156
net,host=host-192-168-5-3,1559033898000000000,0.0061016082763671875
net,host=host-192-168-5-3,1559033899000000000,0.013469696044921875
net,host=host-192-168-5-3,1559033900000000000,0.01726245880126953
