SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559036907s AND time <= 1559036957s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559036908000000000,199.06396961212158
net,host=host-192-168-5-3,1559036909000000000,249.7435188293457
net,host=host-192-168-5-3,1559036910000000000,215.31661987304688
net,host=host-192-168-5-3,1559036911000000000,331.4889373779297
net,host=host-192-168-5-3,1559036912000000000,275.57471561431885
net,host=host-192-168-5-3,1559036913000000000,282.50452423095703
net,host=host-192-168-5-3,1559036914000000000,307.27017879486084
net,host=host-192-168-5-3,1559036915000000000,347.21599769592285
net,host=host-192-168-5-3,1559036916000000000,275.37425804138184
net,host=host-192-168-5-3,1559036917000000000,268.55221366882324
net,host=host-192-168-5-3,1559036918000000000,242.21389293670654
net,host=host-192-168-5-3,1559036919000000000,296.6194257736206
net,host=host-192-168-5-3,1559036920000000000,247.0084810256958
net,host=host-192-168-5-3,1559036921000000000,265.0274591445923
net,host=host-192-168-5-3,1559036922000000000,262.65103340148926
net,host=host-192-168-5-3,1559036923000000000,267.66743659973145
net,host=host-192-168-5-3,1559036924000000000,329.01414012908936
net,host=host-192-168-5-3,1559036925000000000,324.00535774230957
net,host=host-192-168-5-3,1559036926000000000,143.49762439727783
net,host=host-192-168-5-3,1559036927000000000,297.87251567840576
net,host=host-192-168-5-3,1559036928000000000,197.50070190429688
net,host=host-192-168-5-3,1559036929000000000,226.17341136932373
net,host=host-192-168-5-3,1559036930000000000,234.09989070892334
net,host=host-192-168-5-3,1559036931000000000,225.79229354858398
net,host=host-192-168-5-3,1559036932000000000,293.9764595031738
net,host=host-192-168-5-3,1559036933000000000,323.9005470275879
net,host=host-192-168-5-3,1559036934000000000,287.55091381073
net,host=host-192-168-5-3,1559036935000000000,230.62061214447021
net,host=host-192-168-5-3,1559036936000000000,323.9637680053711
net,host=host-192-168-5-3,1559036937000000000,304.6088056564331
net,host=host-192-168-5-3,1559036938000000000,325.2486276626587
net,host=host-192-168-5-3,1559036939000000000,221.23984622955322
net,host=host-192-168-5-3,1559036940000000000,317.1200895309448
net,host=host-192-168-5-3,1559036941000000000,266.37220573425293
net,host=host-192-168-5-3,1559036942000000000,305.0685758590698
net,host=host-192-168-5-3,1559036943000000000,246.1399736404419
net,host=host-192-168-5-3,1559036944000000000,302.78692531585693
net,host=host-192-168-5-3,1559036945000000000,150.61522960662842
net,host=host-192-168-5-3,1559036946000000000,0.028738021850585938
net,host=host-192-168-5-3,1559036947000000000,0.011958122253417969
net,host=host-192-168-5-3,1559036948000000000,0.01758575439453125
net,host=host-192-168-5-3,1559036949000000000,0.01345062255859375
net,host=host-192-168-5-3,1559036950000000000,0.023561477661132812
net,host=host-192-168-5-3,1559036951000000000,0.0055179595947265625
net,host=host-192-168-5-3,1559036952000000000,0.015259742736816406
net,host=host-192-168-5-3,1559036953000000000,0.012678146362304688
net,host=host-192-168-5-3,1559036954000000000,0.016007423400878906
net,host=host-192-168-5-3,1559036955000000000,0.013547897338867188
net,host=host-192-168-5-3,1559036956000000000,0.016595840454101562
net,host=host-192-168-5-3,1559036957000000000,0.014181137084960938
