SELECT mean("cpu_steal") AS "mean_cpu_steal" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537460s AND time <= 1584537530s GROUP BY time(1s) FILL(null)
name,time,mean_cpu_steal
kvmtop.domains,1584537460000000000,0
kvmtop.domains,1584537461000000000,0
kvmtop.domains,1584537462000000000,0
kvmtop.domains,1584537463000000000,0
kvmtop.domains,1584537464000000000,0
kvmtop.domains,1584537465000000000,0
kvmtop.domains,1584537466000000000,7.8
kvmtop.domains,1584537467000000000,17.4
kvmtop.domains,1584537468000000000,17.2
kvmtop.domains,1584537469000000000,19
kvmtop.domains,1584537470000000000,20.2
kvmtop.domains,1584537471000000000,
kvmtop.domains,1584537472000000000,20.4
kvmtop.domains,1584537473000000000,20.8
kvmtop.domains,1584537474000000000,21
kvmtop.domains,1584537475000000000,23
kvmtop.domains,1584537476000000000,24.6
kvmtop.domains,1584537477000000000,23.8
kvmtop.domains,1584537478000000000,23.6
kvmtop.domains,1584537479000000000,23.6
kvmtop.domains,1584537480000000000,24.4
kvmtop.domains,1584537481000000000,23.4
kvmtop.domains,1584537482000000000,23.6
kvmtop.domains,1584537483000000000,22.6
kvmtop.domains,1584537484000000000,22.2
kvmtop.domains,1584537485000000000,23.2
kvmtop.domains,1584537486000000000,23.4
kvmtop.domains,1584537487000000000,22.8
kvmtop.domains,1584537488000000000,21.4
kvmtop.domains,1584537489000000000,22.4
kvmtop.domains,1584537490000000000,23
kvmtop.domains,1584537491000000000,23
kvmtop.domains,1584537492000000000,21.2
kvmtop.domains,1584537493000000000,23
kvmtop.domains,1584537494000000000,22.8
kvmtop.domains,1584537495000000000,23
kvmtop.domains,1584537496000000000,24.4
kvmtop.domains,1584537497000000000,23.2
kvmtop.domains,1584537498000000000,21
kvmtop.domains,1584537499000000000,23.2
kvmtop.domains,1584537500000000000,22.6
kvmtop.domains,1584537501000000000,22.6
kvmtop.domains,1584537502000000000,22
kvmtop.domains,1584537503000000000,23.4
kvmtop.domains,1584537504000000000,21.2
kvmtop.domains,1584537505000000000,23
kvmtop.domains,1584537506000000000,23.2
kvmtop.domains,1584537507000000000,23.8
kvmtop.domains,1584537508000000000,22.4
kvmtop.domains,1584537509000000000,21.8
kvmtop.domains,1584537510000000000,22.4
kvmtop.domains,1584537511000000000,21.6
kvmtop.domains,1584537512000000000,24.6
kvmtop.domains,1584537513000000000,23.6
kvmtop.domains,1584537514000000000,23.4
kvmtop.domains,1584537515000000000,21.4
kvmtop.domains,1584537516000000000,
kvmtop.domains,1584537517000000000,22.2
kvmtop.domains,1584537518000000000,22.8
kvmtop.domains,1584537519000000000,24.4
kvmtop.domains,1584537520000000000,24.2
kvmtop.domains,1584537521000000000,22.8
kvmtop.domains,1584537522000000000,22.6
kvmtop.domains,1584537523000000000,21
kvmtop.domains,1584537524000000000,21
kvmtop.domains,1584537525000000000,20.8
kvmtop.domains,1584537526000000000,20.6
kvmtop.domains,1584537527000000000,0.6
kvmtop.domains,1584537528000000000,0
kvmtop.domains,1584537529000000000,0
kvmtop.domains,1584537530000000000,
