SELECT mean("cpu_steal") AS "mean_cpu_steal" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537206s AND time <= 1584537276s GROUP BY time(1s) FILL(null)
name,time,mean_cpu_steal
kvmtop.domains,1584537206000000000,0
kvmtop.domains,1584537207000000000,0
kvmtop.domains,1584537208000000000,0
kvmtop.domains,1584537209000000000,0
kvmtop.domains,1584537210000000000,0
kvmtop.domains,1584537211000000000,1.8
kvmtop.domains,1584537212000000000,1.8
kvmtop.domains,1584537213000000000,18.2
kvmtop.domains,1584537214000000000,20.4
kvmtop.domains,1584537215000000000,22.2
kvmtop.domains,1584537216000000000,20.8
kvmtop.domains,1584537217000000000,22.8
kvmtop.domains,1584537218000000000,22.2
kvmtop.domains,1584537219000000000,22.6
kvmtop.domains,1584537220000000000,22
kvmtop.domains,1584537221000000000,20.8
kvmtop.domains,1584537222000000000,19
kvmtop.domains,1584537223000000000,21.4
kvmtop.domains,1584537224000000000,21
kvmtop.domains,1584537225000000000,22.4
kvmtop.domains,1584537226000000000,24
kvmtop.domains,1584537227000000000,24.4
kvmtop.domains,1584537228000000000,22.4
kvmtop.domains,1584537229000000000,22.2
kvmtop.domains,1584537230000000000,25.6
kvmtop.domains,1584537231000000000,25
kvmtop.domains,1584537232000000000,25.6
kvmtop.domains,1584537233000000000,24.4
kvmtop.domains,1584537234000000000,25.6
kvmtop.domains,1584537235000000000,25.4
kvmtop.domains,1584537236000000000,23.6
kvmtop.domains,1584537237000000000,
kvmtop.domains,1584537238000000000,20.4
kvmtop.domains,1584537239000000000,19.4
kvmtop.domains,1584537240000000000,22.8
kvmtop.domains,1584537241000000000,29.6
kvmtop.domains,1584537242000000000,25
kvmtop.domains,1584537243000000000,21.6
kvmtop.domains,1584537244000000000,27.6
kvmtop.domains,1584537245000000000,25.6
kvmtop.domains,1584537246000000000,21.4
kvmtop.domains,1584537247000000000,22.8
kvmtop.domains,1584537248000000000,22.4
kvmtop.domains,1584537249000000000,22.4
kvmtop.domains,1584537250000000000,22.4
kvmtop.domains,1584537251000000000,21
kvmtop.domains,1584537252000000000,21.4
kvmtop.domains,1584537253000000000,24.8
kvmtop.domains,1584537254000000000,19.8
kvmtop.domains,1584537255000000000,23
kvmtop.domains,1584537256000000000,23
kvmtop.domains,1584537257000000000,25.4
kvmtop.domains,1584537258000000000,25.2
kvmtop.domains,1584537259000000000,25.2
kvmtop.domains,1584537260000000000,22
kvmtop.domains,1584537261000000000,22
kvmtop.domains,1584537262000000000,21.4
kvmtop.domains,1584537263000000000,20.4
kvmtop.domains,1584537264000000000,20.6
kvmtop.domains,1584537265000000000,19.2
kvmtop.domains,1584537266000000000,19.4
kvmtop.domains,1584537267000000000,18
kvmtop.domains,1584537268000000000,18
kvmtop.domains,1584537269000000000,20.2
kvmtop.domains,1584537270000000000,20
kvmtop.domains,1584537271000000000,8.8
kvmtop.domains,1584537272000000000,0
kvmtop.domains,1584537273000000000,0
kvmtop.domains,1584537274000000000,0
kvmtop.domains,1584537275000000000,0
kvmtop.domains,1584537276000000000,
