SELECT sum("cpu_total") AS "sum_cpu_total" FROM ( SELECT mean("cpu_total") AS "cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537206s AND time <= 1584537276s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537270000000000,76
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537271000000000,62
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537272000000000,4
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537273000000000,3
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537274000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537275000000000,0
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537206000000000,8
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537207000000000,3
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537208000000000,3
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537209000000000,0
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537210000000000,2
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537211000000000,26
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537212000000000,26
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537213000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537214000000000,89
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537215000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537216000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537217000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537218000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537219000000000,91
