SELECT sum("cpu_total") AS "sum_cpu_total" FROM ( SELECT mean("cpu_total") AS "cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537325s AND time <= 1584537395s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537325000000000,9
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537326000000000,9
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537327000000000,4
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537328000000000,3
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537329000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537330000000000,2
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537331000000000,3
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537332000000000,71
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537333000000000,84
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537334000000000,85
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537335000000000,78
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537336000000000,81
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537337000000000,75
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537338000000000,77
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537339000000000,74
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537340000000000,72
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537341000000000,71
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537342000000000,73
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537343000000000,73
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537344000000000,67
