SELECT mean("cpu_total") AS "mean_cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1558960465s AND time <= 1558960535s GROUP BY time(1s), "UUID" FILL(null)
name,tags,time,mean_cpu_total
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960465000000000,26
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960466000000000,61
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960467000000000,59
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960468000000000,61
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960469000000000,57
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960470000000000,57
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960471000000000,64
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960472000000000,71
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960473000000000,72
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960474000000000,70
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960475000000000,71
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960476000000000,71
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960477000000000,64
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960478000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960479000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960480000000000,45
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960481000000000,43
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960482000000000,43
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960483000000000,50
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960484000000000,62
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960485000000000,63
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960486000000000,60
