SELECT mean("cpu_total") AS "mean_cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1558960326s AND time <= 1558960396s GROUP BY time(1s), "UUID" FILL(null)
name,tags,time,mean_cpu_total
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960326000000000,4
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960327000000000,49
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960328000000000,54
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960329000000000,56
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960330000000000,57
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960331000000000,57
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960332000000000,57
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960333000000000,44
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960334000000000,50
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960335000000000,50
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960336000000000,50
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960337000000000,49
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960338000000000,50
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960339000000000,22
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960340000000000,13
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960341000000000,12
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960342000000000,13
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960343000000000,13
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960344000000000,13
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960345000000000,29
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960346000000000,40
kvmtop.domains,UUID=a4e6b464-256c-419b-9dc3-afe5cad263e6,1558960347000000000,39
